Company Name,Asset Type,Percentage Allocation
Sun Pharmaceuticals Ind Ltd.,Equity,20.66%
Dr Reddys Laboratories Ltd.,Equity,10.73%
Cipla Ltd.,Equity,9.94%
Apollo Hospitals Enterprise Ltd.,Equity,8.72%
Max Healthcare Institute Ltd.,Equity,7.70%
Divi Laboratories Ltd.,Equity,7.56%
Lupin Ltd.,Equity,4.85%
Aurobindo Pharma Ltd.,Equity,4.63%
Alkem Laboratories Ltd.,Equity,3.97%
Torrent Pharmaceuticals Ltd.,Equity,3.20%
Zydus Lifesciences Ltd.,Equity,2.65%
Laurus Labs Ltd.,Equity,2.57%
IPCA Laboratories Ltd.,Equity,2.27%
Glenmark Pharmaceuticals Ltd.,Equity,1.94%
Syngene International Ltd.,Equity,1.93%
Abbott India Ltd.,Equity,1.84%
Biocon Ltd.,Equity,1.69%
Dr Lal PathLabs Ltd.,Equity,1.44%
Granules India Ltd.,Equity,0.84%
Metropolis Healthcare Ltd.,Equity,0.65%
CBLO(CCIL),Others,0.11%
Net Receivables/(Payable),Others,0.10%
