Company Name,Asset Type,Percentage Allocation
Trent Ltd.,Equity,4.18%
Bharat Electronics Ltd.,Equity,4.10%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,3.54%
Tata Power Company Ltd.,Equity,3.49%
Hindustan Aeronautics Ltd.,Equity,3.26%
Cholamandalam Investment & Finance Company Ltd.,Equity,3.15%
Indian Oil Corporation Ltd.,Equity,2.96%
TVS Motor Company Ltd.,Equity,2.93%
DLF Ltd.,Equity,2.90%
GAIL (India) Ltd.,Equity,2.71%
Bank Of Baroda,Equity,2.67%
Godrej Consumer Products Ltd.,Equity,2.66%
Interglobe Aviation Ltd.,Equity,2.63%
Pidilite Industries Ltd.,Equity,2.57%
Info Edge (India) Ltd.,Equity,2.48%
Ambuja Cements Ltd.,Equity,2.38%
Shree Cement Ltd.,Equity,2.37%
ICICI Lombard General Insurance Company Ltd.,Equity,2.26%
SRF Ltd.,Equity,2.24%
Siemens Ltd.,Equity,2.23%
Vedanta Ltd.,Equity,2.15%
Havells India Ltd.,Equity,2.13%
Colgate-Palmolive Ltd.,Equity,2.09%
Dabur India Ltd.,Equity,2.02%
United Spirits Ltd.,Equity,2.02%
Canara Bank,Equity,1.82%
Punjab National Bank,Equity,1.77%
Marico Ltd.,Equity,1.76%
PI Industries Ltd.,Equity,1.76%
Jindal Steel & Power Ltd.,Equity,1.71%
Zomato Ltd.,Equity,1.70%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.68%
Avenue Supermarts Ltd.,Equity,1.58%
ABB India Ltd.,Equity,1.54%
Varun Beverages Ltd.,Equity,1.54%
Adani Green Energy Ltd.,Equity,1.50%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.50%
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.39%
Torrent Pharmaceuticals Ltd.,Equity,1.31%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.29%
Bosch Ltd.,Equity,1.18%
Zydus Lifesciences Ltd.,Equity,1.08%
Berger Paints India Ltd.,Equity,1.05%
Muthoot Finance Ltd.,Equity,0.99%
Bajaj Holdings & Investment Ltd.,Equity,0.86%
Adani Transmission Ltd.,Equity,0.81%
Adani Total Gas Ltd. (Erstwhile Adani Gas Ltd.),Equity,0.70%
Life Insurance Corporation of India,Equity,0.54%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.42%
Adani Wilmar Ltd.,Equity,0.14%
Net Receivables/(Payable),Others,0.14%
CBLO(CCIL),Others,0.09%
