Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,29.38%
ICICI Bank Ltd.,Equity,22.54%
Kotak Mahindra Bank Ltd.,Equity,9.89%
Axis Bank Ltd.,Equity,9.87%
State Bank Of India,Equity,9.84%
Indusind Bank Ltd.,Equity,6.42%
Bank Of Baroda,Equity,2.61%
Au Small Finance Bank Ltd.,Equity,2.30%
The Federal Bank Ltd.,Equity,2.12%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.98%
Punjab National Bank,Equity,1.73%
Bandhan Bank Ltd.,Equity,1.11%
CBLO(CCIL),Others,0.35%
Net Receivables/(Payable),Others,-0.15%
