Company Name,Asset Type,Percentage Allocation
Bharti Airtel Ltd.,Equity,10.10%
ITC Ltd.,Equity,9.87%
Hindustan Unilever Ltd.,Equity,9.47%
Mahindra & Mahindra Ltd.,Equity,6.25%
Asian Paints Ltd.,Equity,6.19%
Titan Company Ltd.,Equity,6.19%
Maruti Suzuki India Ltd.,Equity,5.49%
Nestle India Ltd.,Equity,3.83%
Bajaj Auto Ltd.,Equity,3.10%
Trent Ltd.,Equity,2.72%
Tata Consumer Products Ltd.,Equity,2.65%
Britannia Industries Ltd.,Equity,2.54%
Avenue Supermarts Ltd.,Equity,2.47%
Varun Beverages Ltd.,Equity,2.40%
Apollo Hospitals Enterprise Ltd.,Equity,2.31%
Eicher Motors Ltd.,Equity,2.29%
Hero Motocorp Ltd.,Equity,2.17%
Tata Power Company Ltd.,Equity,2.07%
Max Healthcare Institute Ltd.,Equity,2.05%
DLF Ltd.,Equity,1.88%
Godrej Consumer Products Ltd.,Equity,1.73%
Info Edge (India) Ltd.,Equity,1.61%
The Indian Hotels Company Ltd.,Equity,1.55%
Havells India Ltd.,Equity,1.39%
Colgate-Palmolive Ltd.,Equity,1.36%
Dabur India Ltd.,Equity,1.32%
United Spirits Ltd.,Equity,1.31%
Adani Transmission Ltd.,Equity,1.27%
Marico Ltd.,Equity,1.15%
Page Industries Ltd.,Equity,0.94%
CBLO(CCIL),Others,0.28%
Net Receivables/(Payable),Others,0.05%
