Company Name,Asset Type,Percentage Allocation
5.59 Small Industries Development Bank Of India Feb 21 2025,Debt,10.07%
National Bank For Agriculture & Rural Development (Nabard),Others,8.31%
5.4 Indian Oil Corporation Ltd. Apr 11 2025,Debt,7.04%
5.36 Hindustan Petroleum Corporation Ltd. Apr 11 2025,Debt,6.92%
6.88 National Housing Bank Jan 21 2025,Debt,6.84%
5.9 REC Ltd. Mar 31 2025,Debt,5.96%
5.77 Power Finance Corporation Ltd. Apr 11 2025,Debt,5.40%
5.47 National Bank For Agriculture & Rural Development (Nabard) Apr 11 2025,Debt,4.80%
5.35 Housing & Urban Development Corporation Ltd. (Hudco) Apr 11 2025,Debt,4.47%
6.35 Export Import Bank Of India Feb 18 2025,Debt,4.28%
7.42 Power Finance Corporation Ltd. Nov 19 2024,Debt,3.61%
5.25 Oil & Natural Gas Corporation Ltd. Apr 11 2025,Debt,3.43%
5.34 NLC India Ltd. Apr 11 2025,Debt,3.27%
6.88 REC Ltd. Mar 20 2025,Debt,3.24%
Accrued Interest,Others,3.09%
7.05 National Housing Bank Dec 18 2024,Debt,2.83%
6.99 Indian Railway Finance Corporation Ltd. Mar 19 2025,Debt,1.90%
5.7 Small Industries Development Bank Of India Mar 28 2025,Debt,1.87%
6.39 Indian Oil Corporation Ltd. Mar  6 2025,Debt,1.76%
8.27 REC Ltd. Feb  6 2025,Debt,1.67%
8.23 REC Ltd. Jan 23 2025,Debt,1.03%
6.89 GOI Jan 16 2025,Debt,0.89%
9.18 Nuclear Power Corporation Of India Ltd. Jan 23 2025,Debt,0.87%
8.48 Power Finance Corporation Ltd. Dec  9 2024,Debt,0.77%
8.65 Power Finance Corporation Ltd. Dec 28 2024,Debt,0.73%
8.3 REC Ltd. Apr 10 2025,Debt,0.73%
5.63 National Bank For Agriculture & Rural Development (Nabard) Feb 26 2025,Debt,0.62%
6.85 Power Grid Corporation Of India Ltd. Apr 15 2025,Debt,0.55%
9.34 REC Ltd. Aug 24 2024,Debt,0.51%
8.6 Power Finance Corporation Ltd. Aug  7 2024,Debt,0.43%
5.96 National Bank For Agriculture & Rural Development (Nabard) Feb  6 2025,Debt,0.42%
8.2 Power Grid Corporation Of India Ltd. Jan 23 2025,Debt,0.39%
5.57 Small Industries Development Bank Of India Mar  3 2025,Debt,0.21%
8.8 Power Finance Corporation Ltd. Jan 15 2025,Debt,0.17%
CBLO(CCIL),Others,0.14%
8.95 Power Finance Corporation Ltd. Mar 30 2025,Debt,0.14%
8.87 Export Import Bank Of India Mar 13 2025,Debt,0.13%
8.15 Export Import Bank Of India Mar  5 2025,Debt,0.13%
8.11 Export Import Bank Of India Feb  3 2025,Debt,0.13%
8.93 Power Grid Corporation Of India Ltd. Oct 19 2024,Debt,0.09%
8.95 Indian Railway Finance Corporation Ltd. Mar 10 2025,Debt,0.04%
9 National Thermal Power Corporation Ltd. Jan 25 2025,Debt,0.04%
8.15 Power Grid Corporation Of India Ltd. Mar  8 2025,Debt,0.04%
7.49 Power Grid Corporation Of India Ltd. Oct 25 2024,Debt,0.04%
Net Receivables/(Payable),Others,0.00%
