Company Name,Asset Type,Percentage Allocation
7.26 GOI Aug 22 2032,Debt,11.48%
7.55 Nuclear Power Corporation Of India Ltd. Dec 23 2032,Debt,9.93%
7.54 Hindustan Petroleum Corporation Ltd. Apr 15 2033,Debt,7.54%
7.58 Power Finance Corporation Ltd. Apr 15 2033,Debt,6.99%
7.54 National Bank For Agriculture & Rural Development (Nabard) Apr 15 2033,Debt,6.93%
7.47 Indian Railway Finance Corporation Ltd. Apr 15 2033,Debt,6.82%
7.52 Housing & Urban Development Corporation Ltd. (Hudco) Apr 15 2033,Debt,6.48%
7.44 National Thermal Power Corporation Ltd. Apr 15 2033,Debt,6.48%
7.53 REC Ltd. Mar 31 2033,Debt,6.44%
7.75 Indian Railway Finance Corporation Ltd. Apr 15 2033,Debt,5.54%
6.92 REC Ltd. Mar 20 2032,Debt,4.26%
7.88 Export Import Bank Of India Jan 11 2033,Debt,2.85%
7.7 Power Finance Corporation Ltd. Apr 15 2033,Debt,2.80%
7.69 REC Ltd. Jan 31 2033,Debt,2.79%
Accrued Interest,Others,2.62%
6.92 Power Finance Corporation Ltd. Apr 14 2032,Debt,2.22%
7.26 GOI Feb  6 2033,Debt,1.96%
7.82 Power Finance Corporation Ltd. Mar 11 2033,Debt,1.88%
7.65 Indian Railway Finance Corporation Ltd. Dec 30 2032,Debt,1.68%
7.44 National Thermal Power Corporation Ltd. Aug 25 2032,Debt,1.48%
8.5 Export Import Bank Of India Mar 14 2033,Debt,0.59%
7.69 National Bank For Agriculture & Rural Development (Nabard) Mar 31 2032,Debt,0.19%
CBLO(CCIL),Others,0.05%
Net Receivables/(Payable),Others,0.01%
