Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,15.66%
Reliance Industries Ltd.,Equity,10.81%
ICICI Bank Ltd.,Equity,8.39%
Infosys Ltd.,Equity,6.53%
Larsen & Toubro Ltd.,Equity,5.18%
ITC Ltd.,Equity,4.97%
Tata Consultancy Services Ltd.,Equity,4.66%
Axis Bank Ltd.,Equity,3.82%
Kotak Mahindra Bank Ltd.,Equity,3.30%
Bharti Airtel Ltd.,Equity,3.17%
State Bank Of India,Equity,3.00%
Hindustan Unilever Ltd.,Equity,2.90%
Bajaj Finance Ltd.,Equity,2.44%
Mahindra & Mahindra Ltd.,Equity,1.98%
Titan Company Ltd.,Equity,1.90%
Asian Paints Ltd.,Equity,1.88%
HCL Technologies Ltd.,Equity,1.84%
National Thermal Power Corporation Ltd.,Equity,1.80%
Tata Motors Ltd.,Equity,1.72%
Maruti Suzuki India Ltd.,Equity,1.71%
Sun Pharmaceuticals Ind Ltd.,Equity,1.67%
Ultratech Cement Ltd.,Equity,1.46%
Tata Steel Ltd.,Equity,1.38%
Power Grid Corporation Of India Ltd.,Equity,1.35%
Indusind Bank Ltd.,Equity,1.24%
Nestle India Ltd.,Equity,1.23%
Bajaj Finserv Ltd.,Equity,1.09%
JSW Steel Ltd.,Equity,1.02%
Tech Mahindra Ltd.,Equity,0.94%
Wipro Ltd.,Equity,0.78%
Current Assets,Others,0.20%
