Company Name,Asset Type,Percentage Allocation
Power Grid Corporation Of India Ltd.,Equity,20.15%
National Thermal Power Corporation Ltd.,Equity,19.92%
Coal India Ltd.,Equity,18.02%
Oil & Natural Gas Corporation Ltd.,Equity,16.81%
Bharat Electronics Ltd.,Equity,13.87%
NHPC Ltd.,Equity,3.68%
Oil India Ltd.,Equity,2.80%
SJVN Ltd.,Equity,1.35%
NLC India Ltd.,Equity,1.18%
NBCC (India) Ltd.,Equity,1.17%
Cochin Shipyard Ltd.,Equity,1.01%
Triparty Repo,Others,0.08%
Cash Margin,Debt,0.00%
Current Assets,Others,-0.05%
