Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,29.36%
ICICI Bank Ltd.,Equity,22.54%
Kotak Mahindra Bank Ltd.,Equity,9.90%
Axis Bank Ltd.,Equity,9.87%
State Bank Of India,Equity,9.86%
Indusind Bank Ltd.,Equity,6.42%
Bank Of Baroda,Equity,2.61%
Au Small Finance Bank Ltd.,Equity,2.30%
The Federal Bank Ltd.,Equity,2.12%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,2.06%
Punjab National Bank,Equity,1.73%
Bandhan Bank Ltd.,Equity,1.11%
Net Receivables/(Payable),Others,0.09%
Triparty Repo,Others,0.03%
