Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,11.31%
Reliance Industries Ltd.,Equity,7.70%
ICICI Bank Ltd.,Equity,6.16%
Infosys Ltd.,Equity,4.85%
Larsen & Toubro Ltd.,Equity,3.67%
ITC Ltd.,Equity,3.60%
Tata Consultancy Services Ltd.,Equity,3.38%
Axis Bank Ltd.,Equity,2.69%
Kotak Mahindra Bank Ltd.,Equity,2.47%
Bharti Airtel Ltd.,Equity,2.30%
State Bank Of India,Equity,2.17%
Hindustan Unilever Ltd.,Equity,2.09%
Bajaj Finance Ltd.,Equity,1.79%
HCL Technologies Ltd.,Equity,1.37%
Mahindra & Mahindra Ltd.,Equity,1.36%
Asian Paints Ltd.,Equity,1.35%
Titan Company Ltd.,Equity,1.35%
National Thermal Power Corporation Ltd.,Equity,1.30%
Tata Motors Ltd.,Equity,1.21%
Sun Pharmaceuticals Ind Ltd.,Equity,1.20%
Maruti Suzuki India Ltd.,Equity,1.20%
Ultratech Cement Ltd.,Equity,1.07%
Tata Steel Ltd.,Equity,1.00%
Power Grid Corporation Of India Ltd.,Equity,0.95%
Indusind Bank Ltd.,Equity,0.93%
Nestle India Ltd.,Equity,0.84%
Bajaj Finserv Ltd.,Equity,0.81%
Hindalco Industries Ltd.,Equity,0.79%
Coal India Ltd.,Equity,0.76%
JSW Steel Ltd.,Equity,0.74%
Oil & Natural Gas Corporation Ltd.,Equity,0.70%
Tech Mahindra Ltd.,Equity,0.70%
Grasim Industries Ltd.,Equity,0.69%
Bajaj Auto Ltd.,Equity,0.68%
Adani Ports and Special Economic Zone Ltd.,Equity,0.66%
Adani Enterprises Ltd.,Equity,0.66%
Dr Reddys Laboratories Ltd.,Equity,0.62%
HDFC Life Insurance Company Ltd.,Equity,0.60%
Trent Ltd.,Equity,0.59%
Wipro Ltd.,Equity,0.59%
Bharat Electronics Ltd.,Equity,0.58%
Zomato Ltd.,Equity,0.58%
Tata Consumer Products Ltd.,Equity,0.58%
Cipla Ltd.,Equity,0.58%
SBI Life Insurance Company Ltd.,Equity,0.57%
Britannia Industries Ltd.,Equity,0.55%
Avenue Supermarts Ltd.,Equity,0.54%
Varun Beverages Ltd.,Equity,0.52%
Adani Green Energy Ltd.,Equity,0.51%
Ltimindtree Ltd.,Equity,0.51%
Apollo Hospitals Enterprise Ltd.,Equity,0.50%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.50%
Eicher Motors Ltd.,Equity,0.50%
Tata Power Company Ltd.,Equity,0.50%
Hero Motocorp Ltd.,Equity,0.48%
Hindustan Aeronautics Ltd.,Equity,0.46%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.45%
Divi Laboratories Ltd.,Equity,0.44%
Indian Oil Corporation Ltd.,Equity,0.42%
TVS Motor Company Ltd.,Equity,0.42%
DLF Ltd.,Equity,0.41%
GAIL (India) Ltd.,Equity,0.38%
Bank Of Baroda,Equity,0.38%
Bharat Petroleum Corporation Ltd.,Equity,0.38%
Godrej Consumer Products Ltd.,Equity,0.38%
Interglobe Aviation Ltd.,Equity,0.37%
Pidilite Industries Ltd.,Equity,0.37%
Info Edge (India) Ltd.,Equity,0.35%
Ambuja Cements Ltd.,Equity,0.34%
Shree Cement Ltd.,Equity,0.33%
ICICI Lombard General Insurance Company Ltd.,Equity,0.32%
SRF Ltd.,Equity,0.32%
Siemens Ltd.,Equity,0.32%
Vedanta Ltd.,Equity,0.30%
Havells India Ltd.,Equity,0.30%
Colgate-Palmolive Ltd.,Equity,0.30%
Bajaj Holdings & Investment Ltd.,Equity,0.29%
Dabur India Ltd.,Equity,0.29%
United Spirits Ltd.,Equity,0.29%
Adani Transmission Ltd.,Equity,0.28%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.26%
Canara Bank,Equity,0.26%
Punjab National Bank,Equity,0.25%
Marico Ltd.,Equity,0.25%
PI Industries Ltd.,Equity,0.25%
Jindal Steel & Power Ltd.,Equity,0.24%
Adani Total Gas Ltd. (Erstwhile Adani Gas Ltd.),Equity,0.24%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.24%
ABB India Ltd.,Equity,0.22%
Tata Motors - DVR - A - ORDY,Equity,0.21%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.21%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.20%
Torrent Pharmaceuticals Ltd.,Equity,0.19%
Life Insurance Corporation of India,Equity,0.19%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.18%
Bosch Ltd.,Equity,0.17%
Zydus Lifesciences Ltd.,Equity,0.15%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.15%
Berger Paints India Ltd.,Equity,0.15%
Muthoot Finance Ltd.,Equity,0.14%
Adani Wilmar Ltd.,Equity,0.05%
Triparty Repo,Others,0.04%
Current Assets,Others,-0.01%
