Company Name,Asset Type,Percentage Allocation
Nestle India Ltd.,Equity,5.11%
Hindustan Unilever Ltd.,Equity,5.07%
Coal India Ltd.,Equity,5.05%
HDFC Bank Ltd.,Equity,5.00%
ITC Ltd.,Equity,4.98%
Asian Paints Ltd.,Equity,4.94%
HCL Technologies Ltd.,Equity,4.93%
Tata Consultancy Services Ltd.,Equity,4.91%
Infosys Ltd.,Equity,4.91%
Britannia Industries Ltd.,Equity,4.13%
Maruti Suzuki India Ltd.,Equity,3.74%
Colgate-Palmolive Ltd.,Equity,3.67%
Bajaj Auto Ltd.,Equity,3.40%
Tech Mahindra Ltd.,Equity,3.16%
Bharat Electronics Ltd.,Equity,3.10%
Ltimindtree Ltd.,Equity,2.99%
Hindustan Aeronautics Ltd.,Equity,2.79%
Eicher Motors Ltd.,Equity,2.75%
Hero Motocorp Ltd.,Equity,2.67%
Wipro Ltd.,Equity,2.65%
Marico Ltd.,Equity,2.45%
Divi Laboratories Ltd.,Equity,2.39%
Pidilite Industries Ltd.,Equity,2.36%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,2.28%
Godrej Consumer Products Ltd.,Equity,2.14%
Havells India Ltd.,Equity,2.11%
Dabur India Ltd.,Equity,2.10%
Bosch Ltd.,Equity,1.53%
Berger Paints India Ltd.,Equity,1.44%
Muthoot Finance Ltd.,Equity,1.25%
Triparty Repo,Others,0.10%
Current Assets,Others,-0.09%
