Company Name,Asset Type,Percentage Allocation
Nestle India Ltd.,Equity,5.10%
Hindustan Unilever Ltd.,Equity,5.07%
Coal India Ltd.,Equity,5.06%
ITC Ltd.,Equity,4.99%
HCL Technologies Ltd.,Equity,4.95%
Asian Paints Ltd.,Equity,4.95%
Infosys Ltd.,Equity,4.92%
Tata Consultancy Services Ltd.,Equity,4.92%
Britannia Industries Ltd.,Equity,4.75%
Colgate-Palmolive Ltd.,Equity,4.12%
Bajaj Auto Ltd.,Equity,3.81%
Tech Mahindra Ltd.,Equity,3.55%
Bharat Electronics Ltd.,Equity,3.45%
Ltimindtree Ltd.,Equity,3.31%
Hindustan Aeronautics Ltd.,Equity,3.14%
Hero Motocorp Ltd.,Equity,3.00%
Marico Ltd.,Equity,2.77%
Persistent Systems Ltd.,Equity,2.72%
Page Industries Ltd.,Equity,2.70%
Divi Laboratories Ltd.,Equity,2.66%
Pidilite Industries Ltd.,Equity,2.66%
HDFC Asset Management Company Ltd.,Equity,2.50%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,2.44%
Dabur India Ltd.,Equity,2.38%
Havells India Ltd.,Equity,2.36%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.80%
L&T Technology Services Ltd.,Equity,1.70%
Berger Paints India Ltd.,Equity,1.63%
Indraprastha Gas Ltd.,Equity,1.58%
Sun T V Network Ltd.,Equity,1.00%
Triparty Repo,Others,0.02%
Current Assets,Others,-0.02%
