Company Name,Asset Type,Percentage Allocation
Nestle India Ltd.,Equity,4.05%
Sun Pharmaceuticals Ind Ltd.,Equity,4.02%
Larsen & Toubro Ltd.,Equity,3.98%
Bajaj Auto Ltd.,Equity,3.91%
Maruti Suzuki India Ltd.,Equity,3.91%
ICICI Bank Ltd.,Equity,3.90%
ITC Ltd.,Equity,3.83%
National Thermal Power Corporation Ltd.,Equity,3.77%
Colgate-Palmolive Ltd.,Equity,3.75%
Britannia Industries Ltd.,Equity,3.70%
TVS Motor Company Ltd.,Equity,3.68%
Bharti Airtel Ltd.,Equity,3.67%
Ultratech Cement Ltd.,Equity,3.65%
Titan Company Ltd.,Equity,3.64%
Dr Reddys Laboratories Ltd.,Equity,3.60%
MRF Ltd.,Equity,3.49%
Tata Consumer Products Ltd.,Equity,3.48%
Alkem Laboratories Ltd.,Equity,3.41%
Grasim Industries Ltd.,Equity,3.40%
Indian Oil Corporation Ltd.,Equity,3.15%
Oil & Natural Gas Corporation Ltd.,Equity,3.13%
Coal India Ltd.,Equity,3.04%
Axis Bank Ltd.,Equity,3.04%
Godrej Consumer Products Ltd.,Equity,2.99%
Torrent Pharmaceuticals Ltd.,Equity,2.78%
Bosch Ltd.,Equity,2.51%
Siemens Ltd.,Equity,2.34%
Zydus Lifesciences Ltd.,Equity,2.30%
Cummins India Ltd.,Equity,2.27%
Abbott India Ltd.,Equity,1.60%
Triparty Repo,Others,0.43%
Current Assets,Others,-0.41%
