Company Name,Asset Type,Percentage Allocation
Mahindra & Mahindra Ltd.,Equity,17.72%
Tata Motors Ltd.,Equity,15.72%
Maruti Suzuki India Ltd.,Equity,15.57%
Bajaj Auto Ltd.,Equity,8.80%
Eicher Motors Ltd.,Equity,6.49%
Hero Motocorp Ltd.,Equity,6.16%
TVS Motor Company Ltd.,Equity,5.40%
Tube Investments Of India Ltd.,Equity,4.23%
Bharat Forge Ltd.,Equity,3.63%
Sona Blw Precision Forgings Ltd.,Equity,3.03%
MRF Ltd.,Equity,3.00%
Ashok Leyland Ltd.,Equity,2.99%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,2.77%
Balkrishna Industries Ltd.,Equity,2.33%
Bosch Ltd.,Equity,2.17%
Triparty Repo,Others,0.05%
Current Assets,Others,-0.04%
