Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,29.39%
ICICI Bank Ltd.,Equity,22.57%
Kotak Mahindra Bank Ltd.,Equity,9.92%
Axis Bank Ltd.,Equity,9.88%
State Bank Of India,Equity,9.87%
Indusind Bank Ltd.,Equity,6.43%
Bank Of Baroda,Equity,2.62%
Au Small Finance Bank Ltd.,Equity,2.30%
The Federal Bank Ltd.,Equity,2.13%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,2.06%
Punjab National Bank,Equity,1.73%
Bandhan Bank Ltd.,Equity,1.11%
Triparty Repo,Others,0.02%
Current Assets,Others,-0.02%
