Company Name,Asset Type,Percentage Allocation
Reliance Industries Ltd.,Equity,9.83%
National Thermal Power Corporation Ltd.,Equity,8.98%
Ultratech Cement Ltd.,Equity,7.37%
Tata Steel Ltd.,Equity,6.88%
Hindalco Industries Ltd.,Equity,5.46%
Coal India Ltd.,Equity,5.21%
JSW Steel Ltd.,Equity,5.10%
Oil & Natural Gas Corporation Ltd.,Equity,4.86%
Grasim Industries Ltd.,Equity,4.78%
Adani Green Energy Ltd.,Equity,3.54%
Tata Power Company Ltd.,Equity,3.42%
Adani Power Ltd.,Equity,3.08%
Triparty Repo,Others,2.96%
Indian Oil Corporation Ltd.,Equity,2.90%
Bharat Petroleum Corporation Ltd.,Equity,2.61%
Pidilite Industries Ltd.,Equity,2.52%
Ambuja Cements Ltd.,Equity,2.33%
Shree Cement Ltd.,Equity,2.32%
SRF Ltd.,Equity,2.19%
Vedanta Ltd.,Equity,2.10%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,1.79%
PI Industries Ltd.,Equity,1.72%
Jindal Steel & Power Ltd.,Equity,1.67%
APL Apollo Tubes Ltd.,Equity,1.66%
Hindustan Petroleum Corporation Ltd.,Equity,1.55%
Dalmia Bharat Ltd.,Equity,1.09%
Steel Authority Of India Ltd.,Equity,1.09%
ACC Ltd.,Equity,1.08%
Tata Chemicals Ltd.,Equity,1.04%
Deepak Nitrite Ltd.,Equity,1.03%
Navin Fluorine International Ltd.,Equity,0.81%
Current Assets,Others,-2.96%
