Company Name,Asset Type,Percentage Allocation
Reliance Industries Ltd.,Equity,19.76%
Larsen & Toubro Ltd.,Equity,16.64%
Bharti Airtel Ltd.,Equity,10.42%
National Thermal Power Corporation Ltd.,Equity,5.90%
Ultratech Cement Ltd.,Equity,4.84%
Power Grid Corporation Of India Ltd.,Equity,4.32%
Oil & Natural Gas Corporation Ltd.,Equity,3.19%
Grasim Industries Ltd.,Equity,3.14%
Adani Ports and Special Economic Zone Ltd.,Equity,3.00%
Apollo Hospitals Enterprise Ltd.,Equity,2.29%
Tata Power Company Ltd.,Equity,2.25%
Indian Oil Corporation Ltd.,Equity,1.90%
DLF Ltd.,Equity,1.87%
GAIL (India) Ltd.,Equity,1.74%
Bharat Petroleum Corporation Ltd.,Equity,1.72%
Interglobe Aviation Ltd.,Equity,1.69%
The Indian Hotels Company Ltd.,Equity,1.54%
Shree Cement Ltd.,Equity,1.53%
Ambuja Cements Ltd.,Equity,1.53%
Siemens Ltd.,Equity,1.43%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.08%
Cummins India Ltd.,Equity,1.06%
MRF Ltd.,Equity,1.04%
Ashok Leyland Ltd.,Equity,1.04%
Hindustan Petroleum Corporation Ltd.,Equity,1.02%
Container Corporation Of India Ltd.,Equity,0.94%
Godrej Properties Ltd.,Equity,0.92%
Balkrishna Industries Ltd.,Equity,0.81%
ACC Ltd.,Equity,0.71%
Petronet Lng Ltd.,Equity,0.67%
Triparty Repo,Others,0.15%
Current Assets,Others,-0.15%
