Company Name,Asset Type,Percentage Allocation
Trent Ltd.,Equity,6.71%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,5.59%
Power Finance Corporation Ltd.,Equity,5.45%
Max Healthcare Institute Ltd.,Equity,4.98%
TVS Motor Company Ltd.,Equity,4.72%
The Indian Hotels Company Ltd.,Equity,3.78%
The Federal Bank Ltd.,Equity,3.72%
Au Small Finance Bank Ltd.,Equity,3.71%
Persistent Systems Ltd.,Equity,3.67%
Tube Investments Of India Ltd.,Equity,3.62%
Colgate-Palmolive Ltd.,Equity,3.30%
Lupin Ltd.,Equity,3.13%
Bharat Forge Ltd.,Equity,3.11%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,3.08%
MRF Ltd.,Equity,3.07%
Tata Elxsi Ltd.,Equity,2.99%
APL Apollo Tubes Ltd.,Equity,2.88%
Canara Bank,Equity,2.88%
CG Power & Industrial Solutions Ltd.,Equity,2.86%
PI Industries Ltd.,Equity,2.77%
Jindal Steel & Power Ltd.,Equity,2.77%
Cummins India Ltd.,Equity,2.61%
Zee Entertainment Enterprises Ltd.,Equity,2.59%
Ashok Leyland Ltd.,Equity,2.56%
Container Corporation Of India Ltd.,Equity,2.31%
Page Industries Ltd.,Equity,2.27%
Mphasis Ltd.,Equity,2.23%
Voltas Ltd.,Equity,2.23%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,2.21%
Max Financial Services Ltd.,Equity,2.20%
Triparty Repo,Others,0.03%
Current Assets,Others,-0.03%
