Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,4.10%
Hindustan Unilever Ltd.,Equity,4.09%
Nestle India Ltd.,Equity,3.95%
Sun Pharmaceuticals Ind Ltd.,Equity,3.95%
Britannia Industries Ltd.,Equity,3.86%
Kotak Mahindra Bank Ltd.,Equity,3.75%
HDFC Bank Ltd.,Equity,3.73%
ITC Ltd.,Equity,3.63%
Asian Paints Ltd.,Equity,3.62%
Ultratech Cement Ltd.,Equity,3.58%
Reliance Industries Ltd.,Equity,3.48%
Tata Consultancy Services Ltd.,Equity,3.48%
Dr Reddys Laboratories Ltd.,Equity,3.47%
Wipro Ltd.,Equity,3.44%
Larsen & Toubro Ltd.,Equity,3.32%
National Thermal Power Corporation Ltd.,Equity,3.15%
Dabur India Ltd.,Equity,3.09%
Bajaj Auto Ltd.,Equity,3.08%
HCL Technologies Ltd.,Equity,3.07%
Marico Ltd.,Equity,3.05%
Colgate-Palmolive Ltd.,Equity,3.03%
Pidilite Industries Ltd.,Equity,3.00%
Bosch Ltd.,Equity,2.99%
Power Grid Corporation Of India Ltd.,Equity,2.98%
Torrent Pharmaceuticals Ltd.,Equity,2.97%
SBI Life Insurance Company Ltd.,Equity,2.92%
Indian Oil Corporation Ltd.,Equity,2.88%
Berger Paints India Ltd.,Equity,2.82%
Hero Motocorp Ltd.,Equity,2.76%
Cipla Ltd.,Equity,2.74%
Current Assets,Others,0.03%
