Company Name,Asset Type,Percentage Allocation
JD.com Inc.,Equity,8.83%
Alibaba Group Holding Ltd.ADR,Equity,8.64%
Xiaomi Corporation,Equity,8.54%
Kuaishou Technology,Equity,7.99%
Li Auto,Equity,7.92%
Tencent Holdings,Equity,7.80%
Meituan Dianping,Equity,6.76%
NetEase Inc.,Equity,5.08%
Lenovo Group Ltd.,Equity,4.49%
Semiconductor Manufacturing International Corp,Equity,4.34%
Baidu.com Inc,Equity,4.29%
Xpeng Inc,Equity,3.34%
Triparty Repo,Others,2.99%
Haier Smart Home Co Ltd.,Equity,2.80%
Sunny Optical Technology Group Company Ltd.,Equity,2.64%
Jd Health International Inc,Equity,2.27%
Trip.com Group,Equity,1.98%
Kingdee International Software Ltd.,Equity,1.65%
BYD Electronic (International) Company Ltd.,Equity,1.51%
JD.com Inc.,Equity,1.32%
Sense Time,Equity,1.22%
Kingsoft Corp Ltd.,Equity,1.20%
Alibaba Health Information Technology Ltd.,Equity,1.20%
Zhongan Online P&C Insurance Co Ltd.,Equity,0.79%
East Buy Holding Ltd.,Equity,0.74%
China Literature Ltd.,Equity,0.70%
Hua Hong Semiconductor Ltd.,Equity,0.65%
Ping An Healthcare & Technology Co Ltd.,Equity,0.57%
Nio Inc.,Equity,0.40%
GDS Holdings Ltd.,Equity,0.18%
WEIBO CORPORATION,Equity,0.02%
Net Receivables/(Payable),Others,-2.84%
