Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,10.00%
Reliance Industries Ltd.,Equity,9.57%
ICICI Bank Ltd.,Equity,7.64%
Infosys Ltd.,Equity,6.02%
Larsen & Toubro Ltd.,Equity,4.55%
Tata Consultancy Services Ltd.,Equity,4.20%
Axis Bank Ltd.,Equity,3.34%
Kotak Mahindra Bank Ltd.,Equity,3.07%
Bharti Airtel Ltd.,Equity,2.85%
Hindustan Unilever Ltd.,Equity,2.60%
Bajaj Finance Ltd.,Equity,2.23%
HCL Technologies Ltd.,Equity,1.70%
Mahindra & Mahindra Ltd.,Equity,1.69%
Asian Paints Ltd.,Equity,1.68%
Titan Company Ltd.,Equity,1.67%
National Thermal Power Corporation Ltd.,Equity,1.62%
Tata Motors Ltd.,Equity,1.50%
Sun Pharmaceuticals Ind Ltd.,Equity,1.49%
Maruti Suzuki India Ltd.,Equity,1.48%
Ultratech Cement Ltd.,Equity,1.32%
Tata Steel Ltd.,Equity,1.24%
Power Grid Corporation Of India Ltd.,Equity,1.18%
Indusind Bank Ltd.,Equity,1.16%
Nestle India Ltd.,Equity,1.04%
Triparty Repo,Others,1.02%
Bajaj Finserv Ltd.,Equity,1.00%
JSW Steel Ltd.,Equity,0.92%
Tech Mahindra Ltd.,Equity,0.87%
Grasim Industries Ltd.,Equity,0.86%
Adani Ports and Special Economic Zone Ltd.,Equity,0.82%
Adani Enterprises Ltd.,Equity,0.82%
Dr Reddys Laboratories Ltd.,Equity,0.77%
HDFC Life Insurance Company Ltd.,Equity,0.75%
Trent Ltd.,Equity,0.74%
Wipro Ltd.,Equity,0.73%
Zomato Ltd.,Equity,0.72%
Tata Consumer Products Ltd.,Equity,0.72%
Cipla Ltd.,Equity,0.71%
Avenue Supermarts Ltd.,Equity,0.67%
Adani Green Energy Ltd.,Equity,0.64%
Ltimindtree Ltd.,Equity,0.63%
Eicher Motors Ltd.,Equity,0.62%
Tata Power Company Ltd.,Equity,0.62%
Hero Motocorp Ltd.,Equity,0.59%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.56%
Divi Laboratories Ltd.,Equity,0.54%
Indian Oil Corporation Ltd.,Equity,0.52%
TVS Motor Company Ltd.,Equity,0.52%
DLF Ltd.,Equity,0.51%
GAIL (India) Ltd.,Equity,0.48%
Godrej Consumer Products Ltd.,Equity,0.47%
Interglobe Aviation Ltd.,Equity,0.46%
Pidilite Industries Ltd.,Equity,0.45%
Info Edge (India) Ltd.,Equity,0.43%
Shree Cement Ltd.,Equity,0.41%
ICICI Lombard General Insurance Company Ltd.,Equity,0.40%
Siemens Ltd.,Equity,0.39%
Colgate-Palmolive Ltd.,Equity,0.37%
Dabur India Ltd.,Equity,0.36%
Adani Transmission Ltd.,Equity,0.34%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.32%
Marico Ltd.,Equity,0.31%
PI Industries Ltd.,Equity,0.31%
Jindal Steel & Power Ltd.,Equity,0.30%
Adani Total Gas Ltd. (Erstwhile Adani Gas Ltd.),Equity,0.30%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,0.29%
ABB India Ltd.,Equity,0.27%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.24%
Torrent Pharmaceuticals Ltd.,Equity,0.23%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.23%
Bosch Ltd.,Equity,0.20%
Zydus Lifesciences Ltd.,Equity,0.19%
Muthoot Finance Ltd.,Equity,0.18%
Net Receivables/(Payable),Others,-0.60%
