Company Name,Asset Type,Percentage Allocation
Bharat Heavy Electricals Ltd.,Equity,5.11%
Aurobindo Pharma Ltd.,Equity,4.99%
Polycab India Ltd.,Equity,4.98%
Trent Ltd.,Equity,4.93%
REC Ltd.,Equity,4.74%
Power Finance Corporation Ltd.,Equity,4.69%
TVS Motor Company Ltd.,Equity,4.35%
L&T Finance Holding Ltd.,Equity,3.98%
Hindustan Aeronautics Ltd.,Equity,3.85%
Lupin Ltd.,Equity,3.78%
Vodafone Idea Ltd.,Equity,3.72%
Bajaj Auto Ltd.,Equity,3.65%
Tata Motors Ltd.,Equity,3.58%
Zydus Lifesciences Ltd.,Equity,3.11%
Cholamandalam Investment & Finance Company Ltd.,Equity,3.07%
NMDC Ltd.,Equity,3.00%
DLF Ltd.,Equity,2.98%
Alkem Laboratories Ltd.,Equity,2.97%
Persistent Systems Ltd.,Equity,2.91%
National Thermal Power Corporation Ltd.,Equity,2.84%
Coal India Ltd.,Equity,2.82%
Oberoi Realty Ltd.,Equity,2.79%
Punjab National Bank,Equity,2.77%
ABB India Ltd.,Equity,2.51%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,2.31%
Coforge Ltd.,Equity,2.17%
Bharat Electronics Ltd.,Equity,1.97%
Escorts Kubota Ltd.,Equity,1.93%
Apollo Tyres Ltd.,Equity,1.83%
Cummins India Ltd.,Equity,1.69%
Triparty Repo,Others,0.44%
Net Receivables/(Payable),Others,-0.45%
