Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,33.17%
ICICI Bank Ltd.,Equity,20.04%
Axis Bank Ltd.,Equity,8.77%
Kotak Mahindra Bank Ltd.,Equity,8.05%
State Bank Of India,Equity,7.07%
Bajaj Finance Ltd.,Equity,5.85%
Bajaj Finserv Ltd.,Equity,2.62%
HDFC Life Insurance Company Ltd.,Equity,1.95%
SBI Life Insurance Company Ltd.,Equity,1.85%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.64%
Power Finance Corporation Ltd.,Equity,1.59%
REC Ltd.,Equity,1.47%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.46%
ICICI Lombard General Insurance Company Ltd.,Equity,1.04%
Triparty Repo,Others,0.93%
HDFC Asset Management Company Ltd.,Equity,0.92%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.64%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.60%
LIC Housing Finance Ltd.,Equity,0.47%
Muthoot Finance Ltd.,Equity,0.46%
Indian Energy Exchange Ltd.,Equity,0.37%
Net Receivables/(Payable),Others,-0.94%
