Company Name,Asset Type,Percentage Allocation
Mahindra & Mahindra Ltd.,Equity,5.10%
Reliance Industries Ltd.,Equity,4.91%
Tata Motors Ltd.,Equity,4.83%
Maruti Suzuki India Ltd.,Equity,4.79%
Sun Pharmaceuticals Ind Ltd.,Equity,4.79%
Tata Steel Ltd.,Equity,3.99%
Hindalco Industries Ltd.,Equity,3.16%
JSW Steel Ltd.,Equity,2.95%
Bajaj Auto Ltd.,Equity,2.71%
Bharat Electronics Ltd.,Equity,2.65%
Dr Reddys Laboratories Ltd.,Equity,2.48%
Cipla Ltd.,Equity,2.30%
Hindustan Aeronautics Ltd.,Equity,2.11%
Eicher Motors Ltd.,Equity,2.00%
Hero Motocorp Ltd.,Equity,1.89%
Divi Laboratories Ltd.,Equity,1.75%
Indian Oil Corporation Ltd.,Equity,1.68%
TVS Motor Company Ltd.,Equity,1.66%
Bharat Petroleum Corporation Ltd.,Equity,1.51%
Pidilite Industries Ltd.,Equity,1.46%
Siemens Ltd.,Equity,1.44%
Tube Investments Of India Ltd.,Equity,1.30%
Bharat Forge Ltd.,Equity,1.28%
SRF Ltd.,Equity,1.27%
Vedanta Ltd.,Equity,1.22%
Havells India Ltd.,Equity,1.21%
The Supreme Industries Ltd.,Equity,1.18%
CG Power & Industrial Solutions Ltd.,Equity,1.17%
Lupin Ltd.,Equity,1.12%
APL Apollo Tubes Ltd.,Equity,1.10%
Aurobindo Pharma Ltd.,Equity,1.07%
Cummins India Ltd.,Equity,1.07%
Ashok Leyland Ltd.,Equity,1.05%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,1.04%
Polycab India Ltd.,Equity,1.03%
ABB India Ltd.,Equity,1.00%
PI Industries Ltd.,Equity,0.99%
Jindal Steel & Power Ltd.,Equity,0.97%
MRF Ltd.,Equity,0.93%
Sona Blw Precision Forgings Ltd.,Equity,0.93%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.91%
Dixon Technologies (India) Ltd.,Equity,0.86%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.85%
Page Industries Ltd.,Equity,0.83%
Voltas Ltd.,Equity,0.79%
Torrent Pharmaceuticals Ltd.,Equity,0.74%
KEI Industries Ltd.,Equity,0.73%
Balkrishna Industries Ltd.,Equity,0.72%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.70%
Bosch Ltd.,Equity,0.67%
Zydus Lifesciences Ltd.,Equity,0.61%
Tata Chemicals Ltd.,Equity,0.60%
Deepak Nitrite Ltd.,Equity,0.60%
AIA Engineering Ltd.,Equity,0.59%
Solar Industries India Ltd.,Equity,0.58%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.52%
Gujarat Fluorochemicals Ltd.,Equity,0.51%
Exide Industries Ltd.,Equity,0.50%
Carborundum Universal Ltd.,Equity,0.49%
Sundram Fasteners Ltd.,Equity,0.47%
Navin Fluorine International Ltd.,Equity,0.47%
Schaeffler India Ltd.,Equity,0.46%
SKF India Ltd.,Equity,0.43%
Linde India Ltd.,Equity,0.42%
Timken India Ltd.,Equity,0.40%
Escorts Kubota Ltd.,Equity,0.40%
Kajaria Ceramics Ltd.,Equity,0.38%
Bata India Ltd.,Equity,0.37%
Honeywell Automation India Ltd.,Equity,0.33%
Hindustan Copper Ltd.,Equity,0.32%
Hindustan Zinc Ltd.,Equity,0.28%
Mazagon Dock Shipbuilders Ltd.,Equity,0.28%
K P R Mill Ltd.,Equity,0.26%
Relaxo Footwears Ltd.,Equity,0.23%
Tejas Networks Ltd.,Equity,0.22%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.21%
Trident Ltd.,Equity,0.16%
Triparty Repo,Others,0.04%
Net Receivables/(Payable),Others,-0.03%
