Company Name,Asset Type,Percentage Allocation
Power Finance Corporation Ltd.,Equity,2.66%
REC Ltd.,Equity,2.45%
Max Healthcare Institute Ltd.,Equity,2.43%
Adani Power Ltd.,Equity,2.43%
The Indian Hotels Company Ltd.,Equity,1.85%
Coforge Ltd.,Equity,1.84%
Persistent Systems Ltd.,Equity,1.83%
Au Small Finance Bank Ltd.,Equity,1.82%
Yes Bank Ltd.,Equity,1.80%
Tube Investments Of India Ltd.,Equity,1.77%
The Federal Bank Ltd.,Equity,1.68%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.62%
HDFC Asset Management Company Ltd.,Equity,1.54%
Lupin Ltd.,Equity,1.53%
Bharat Forge Ltd.,Equity,1.52%
Tata Elxsi Ltd.,Equity,1.46%
Aurobindo Pharma Ltd.,Equity,1.46%
CG Power & Industrial Solutions Ltd.,Equity,1.40%
APL Apollo Tubes Ltd.,Equity,1.31%
Cummins India Ltd.,Equity,1.28%
Sona Blw Precision Forgings Ltd.,Equity,1.27%
MRF Ltd.,Equity,1.27%
Alkem Laboratories Ltd.,Equity,1.25%
Ashok Leyland Ltd.,Equity,1.25%
Polycab India Ltd.,Equity,1.22%
Hindustan Petroleum Corporation Ltd.,Equity,1.22%
Zee Entertainment Enterprises Ltd.,Equity,1.21%
Bharat Heavy Electricals Ltd.,Equity,1.20%
Macrotech Developers Ltd.,Equity,1.18%
KPIT Technologies Ltd.,Equity,1.17%
Dixon Technologies (India) Ltd.,Equity,1.17%
NMDC Ltd.,Equity,1.15%
Fsn ECommerce Ventures Ltd.,Equity,1.14%
Page Industries Ltd.,Equity,1.13%
Container Corporation Of India Ltd.,Equity,1.13%
Max Financial Services Ltd.,Equity,1.12%
Godrej Properties Ltd.,Equity,1.10%
Mphasis Ltd.,Equity,1.09%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.08%
Voltas Ltd.,Equity,1.07%
Fortis Healthcare Ltd.,Equity,1.05%
Jubilant Foodworks Ltd.,Equity,1.04%
PB Fintech Ltd.,Equity,1.03%
Tata Communications Ltd.,Equity,0.99%
Balkrishna Industries Ltd.,Equity,0.98%
Union Bank Of India,Equity,0.97%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.95%
Bandhan Bank Ltd.,Equity,0.88%
Indian Railway Finance Corporation Ltd.,Equity,0.87%
Dalmia Bharat Ltd.,Equity,0.86%
Steel Authority Of India Ltd.,Equity,0.86%
ACC Ltd.,Equity,0.86%
NHPC Ltd.,Equity,0.84%
JSW Energy Ltd.,Equity,0.84%
Tata Chemicals Ltd.,Equity,0.82%
Deepak Nitrite Ltd.,Equity,0.81%
Laurus Labs Ltd.,Equity,0.81%
Oberoi Realty Ltd.,Equity,0.81%
Petronet Lng Ltd.,Equity,0.80%
Prestige Estates Projects Ltd.,Equity,0.79%
One 97 Communications Ltd.,Equity,0.79%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.79%
LIC Housing Finance Ltd.,Equity,0.78%
Torrent Power Ltd.,Equity,0.75%
Apollo Tyres Ltd.,Equity,0.72%
IPCA Laboratories Ltd.,Equity,0.72%
Patanjali Foods Ltd.,Equity,0.71%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.71%
Indian Bank,Equity,0.71%
Indraprastha Gas Ltd.,Equity,0.70%
Gujarat Fluorochemicals Ltd.,Equity,0.70%
L&T Technology Services Ltd.,Equity,0.69%
Delhivery Ltd.,Equity,0.69%
Bank Of India,Equity,0.66%
L&T Finance Holding Ltd.,Equity,0.65%
Navin Fluorine International Ltd.,Equity,0.64%
Oil India Ltd.,Equity,0.64%
Gland Pharma Ltd.,Equity,0.64%
United Breweries Ltd.,Equity,0.63%
The Ramco Cements Ltd.,Equity,0.62%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.62%
Syngene International Ltd.,Equity,0.61%
Vodafone Idea Ltd.,Equity,0.60%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,0.59%
Aditya Birla Capital Ltd.,Equity,0.56%
Piramal Enterprises Ltd.,Equity,0.53%
Biocon Ltd.,Equity,0.53%
Bata India Ltd.,Equity,0.51%
Motherson Sumi Wiring India Ltd.,Equity,0.50%
Rail Vikas Nigam Ltd.,Equity,0.49%
Escorts Kubota Ltd.,Equity,0.47%
Dr Lal PathLabs Ltd.,Equity,0.45%
Gujarat Gas Ltd.,Equity,0.38%
Mankind Pharma Ltd.,Equity,0.38%
Bharat Dynamics Ltd.,Equity,0.38%
Devyani International Ltd.,Equity,0.36%
Aditya Birla Fashion & Retail Ltd.,Equity,0.36%
Mazagon Dock Shipbuilders Ltd.,Equity,0.33%
Sun T V Network Ltd.,Equity,0.28%
Fertilizers & Chemicals Travancore Ltd.,Equity,0.25%
Net Receivables/(Payable),Others,-0.08%
