Company Name,Asset Type,Percentage Allocation
National Thermal Power Corporation Ltd.,Equity,8.41%
Hindalco Industries Ltd.,Equity,8.06%
State Bank Of India,Equity,7.05%
Oil & Natural Gas Corporation Ltd.,Equity,7.03%
Tata Steel Ltd.,Equity,6.75%
Indian Oil Corporation Ltd.,Equity,6.47%
Coal India Ltd.,Equity,6.13%
Bharat Petroleum Corporation Ltd.,Equity,5.05%
Power Finance Corporation Ltd.,Equity,4.90%
REC Ltd.,Equity,3.55%
Bank Of Baroda,Equity,3.51%
Vedanta Ltd.,Equity,3.46%
GAIL (India) Ltd.,Equity,3.23%
Hindustan Petroleum Corporation Ltd.,Equity,3.20%
Canara Bank,Equity,2.80%
Steel Authority Of India Ltd.,Equity,2.36%
NMDC Ltd.,Equity,2.33%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.28%
The Federal Bank Ltd.,Equity,1.94%
Union Bank Of India,Equity,1.86%
Punjab National Bank,Equity,1.76%
Oil India Ltd.,Equity,1.48%
Petronet Lng Ltd.,Equity,1.14%
LIC Housing Finance Ltd.,Equity,1.11%
Life Insurance Corporation of India,Equity,0.97%
Rajesh Exports Ltd.,Equity,0.81%
Bank Of India,Equity,0.71%
General Insurance Corporation of India Ltd.,Equity,0.59%
Indian Railway Finance Corporation Ltd.,Equity,0.56%
The New India Assurance Company Ltd.,Equity,0.37%
Net Receivables/(Payable),Others,0.14%
