Company Name,Asset Type,Percentage Allocation
Infosys Ltd.,Equity,20.15%
Tata Consultancy Services Ltd.,Equity,14.06%
Hindustan Unilever Ltd.,Equity,8.70%
HCL Technologies Ltd.,Equity,5.68%
Asian Paints Ltd.,Equity,5.61%
Ultratech Cement Ltd.,Equity,4.44%
Tata Steel Ltd.,Equity,4.15%
Nestle India Ltd.,Equity,3.48%
Coal India Ltd.,Equity,3.14%
Oil & Natural Gas Corporation Ltd.,Equity,2.93%
Tech Mahindra Ltd.,Equity,2.91%
Grasim Industries Ltd.,Equity,2.88%
Adani Enterprises Ltd.,Equity,2.73%
Dr Reddys Laboratories Ltd.,Equity,2.58%
Wipro Ltd.,Equity,2.43%
Tata Consumer Products Ltd.,Equity,2.40%
Cipla Ltd.,Equity,2.39%
Ltimindtree Ltd.,Equity,2.11%
Apollo Hospitals Enterprise Ltd.,Equity,2.10%
Hero Motocorp Ltd.,Equity,1.97%
Divi Laboratories Ltd.,Equity,1.82%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,1.08%
Current Assets,Others,0.25%
