Company Name,Asset Type,Percentage Allocation
Reliance Industries Ltd.,Equity,19.71%
Larsen & Toubro Ltd.,Equity,16.60%
Bharti Airtel Ltd.,Equity,10.40%
National Thermal Power Corporation Ltd.,Equity,5.89%
Ultratech Cement Ltd.,Equity,4.82%
Power Grid Corporation Of India Ltd.,Equity,4.30%
Oil & Natural Gas Corporation Ltd.,Equity,3.18%
Grasim Industries Ltd.,Equity,3.13%
Adani Ports and Special Economic Zone Ltd.,Equity,3.00%
Apollo Hospitals Enterprise Ltd.,Equity,2.28%
Tata Power Company Ltd.,Equity,2.24%
Indian Oil Corporation Ltd.,Equity,1.90%
DLF Ltd.,Equity,1.86%
GAIL (India) Ltd.,Equity,1.74%
Bharat Petroleum Corporation Ltd.,Equity,1.71%
Interglobe Aviation Ltd.,Equity,1.69%
Triparty Repo,Others,1.62%
The Indian Hotels Company Ltd.,Equity,1.54%
Ambuja Cements Ltd.,Equity,1.52%
Shree Cement Ltd.,Equity,1.52%
Siemens Ltd.,Equity,1.43%
MRF Ltd.,Equity,1.08%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.07%
Cummins India Ltd.,Equity,1.06%
Ashok Leyland Ltd.,Equity,1.04%
Hindustan Petroleum Corporation Ltd.,Equity,1.01%
Container Corporation Of India Ltd.,Equity,0.94%
Godrej Properties Ltd.,Equity,0.91%
Balkrishna Industries Ltd.,Equity,0.81%
ACC Ltd.,Equity,0.71%
Petronet Lng Ltd.,Equity,0.66%
Cash Margin,Debt,0.01%
Current Assets,Others,-1.40%
