Company Name,Asset Type,Percentage Allocation
8.83 Uttar Pradesh SDL Feb 24 2026,Debt,3.39%
8.3 Rajasthan SDL Jan 13 2026,Debt,3.35%
8.29 Andhra Pradesh SDL Jan 13 2026,Debt,3.00%
8.38 Haryana SDL  Jan 27 2026,Debt,2.93%
8.27 Gujarat SDL Jan 13 2026,Debt,2.91%
8.88 West Bengal SDL Feb 24 2026,Debt,2.81%
8.04 Chhattisgarh SDL Mar 20 2026,Debt,2.74%
8.36 Maharashtra SDL  Jan 27 2026,Debt,2.73%
Current Assets,Others,2.57%
8.16 Karnataka Sdl Nov 26 2025,Debt,2.45%
8.51 Haryana SDL  Feb 10 2026,Debt,2.38%
8.69 Kerala SDL  Feb 24 2026,Debt,2.36%
8.53 Tamil Nadu SDL Mar  9 2026,Debt,2.09%
8.3 Madhya Pradesh SDL Jan 13 2026,Debt,1.98%
8.24 Tamil Nadu SDL Sep  9 2025,Debt,1.94%
8.53 Uttar Pradesh SDL Feb 10 2026,Debt,1.90%
8.28 Karnataka Sdl Mar  6 2026,Debt,1.81%
8.48 Rajasthan SDL Feb 10 2026,Debt,1.79%
8.31 Telangana SDL Jan 13 2026,Debt,1.73%
7.99 Kerala SDL  Oct 28 2025,Debt,1.71%
8.46 Gujarat SDL Feb 10 2026,Debt,1.60%
8 Tamil Nadu SDL Oct 28 2025,Debt,1.52%
8.42 Kerala SDL  Jan 27 2026,Debt,1.50%
8.12 Maharashtra SDL  Nov 13 2025,Debt,1.35%
8.14 Karnataka Sdl Nov 13 2025,Debt,1.33%
8.52 Telangana SDL Feb 10 2026,Debt,1.28%
8.31 West Bengal SDL Jan 13 2026,Debt,1.26%
8.6 Bihar SDL Mar  9 2026,Debt,1.22%
8.27 Karnataka Sdl Jan 13 2026,Debt,1.20%
8.58 Uttar Pradesh SDL Mar  9 2026,Debt,1.20%
8.39 Andhra Pradesh SDL Jan 27 2026,Debt,1.18%
8.82 Bihar SDL Feb 24 2026,Debt,1.18%
8.49 Kerala SDL  Feb 10 2026,Debt,1.11%
8.26 Maharashtra SDL  Dec 23 2025,Debt,1.11%
8.38 Karnataka Sdl Jan 27 2026,Debt,1.04%
8.15 Gujarat SDL Sep 23 2025,Debt,1.00%
8.39 Madhya Pradesh SDL Jan 27 2026,Debt,0.95%
8.4 West Bengal SDL Jan 27 2026,Debt,0.95%
8.16 Rajasthan SDL Nov 26 2025,Debt,0.90%
8.15 Haryana SDL  Nov 13 2025,Debt,0.90%
8.76 Madhya Pradesh SDL Feb 24 2026,Debt,0.84%
8.67 Karnataka Sdl Feb 24 2026,Debt,0.80%
8.57 West Bengal SDL Mar  9 2026,Debt,0.79%
8.21 Maharashtra SDL  Dec  9 2025,Debt,0.78%
8.51 West Bengal SDL Feb 10 2026,Debt,0.78%
8.15 Tamil Nadu SDL Nov 13 2025,Debt,0.77%
7.96 Gujarat SDL Oct 14 2025,Debt,0.76%
8.27 Karnataka Sdl Dec 23 2025,Debt,0.72%
8.27 Tamil Nadu SDL Jan 13 2026,Debt,0.69%
8.23 Gujarat SDL Sep  9 2025,Debt,0.69%
8.29 Haryana SDL  Jul 29 2025,Debt,0.69%
8.21 West Bengal SDL Jun 24 2025,Debt,0.69%
8.49 Tamil Nadu SDL Feb 10 2026,Debt,0.64%
8.67 Maharashtra SDL  Feb 24 2026,Debt,0.63%
8.72 Andhra Pradesh SDL Feb 24 2026,Debt,0.63%
8.47 Maharashtra SDL  Feb 10 2026,Debt,0.62%
8.15 Madhya Pradesh SDL Nov 13 2025,Debt,0.58%
8.25 Maharashtra SDL  Jan 13 2026,Debt,0.58%
8.42 Jharkhand SDL Jan 27 2026,Debt,0.57%
8.34 Uttar Pradesh SDL Jan 13 2026,Debt,0.57%
8.57 Andhra Pradesh SDL Mar  9 2026,Debt,0.56%
8.54 Bihar SDL Feb 10 2026,Debt,0.56%
8.2 Rajasthan SDL Jun 24 2025,Debt,0.55%
5.82 Bihar SDL Jan 20 2026,Debt,0.53%
8.51 Maharashtra SDL  Mar  9 2026,Debt,0.51%
8.82 Jharkhand SDL Feb 24 2026,Debt,0.49%
8.27 Haryana SDL  Dec  9 2025,Debt,0.48%
7.98 Andhra Pradesh SDL Oct 14 2025,Debt,0.48%
7.97 Tamil Nadu SDL Oct 14 2025,Debt,0.44%
8.38 Tamil Nadu SDL Jan 27 2026,Debt,0.42%
8.15 Maharashtra SDL  Nov 26 2025,Debt,0.42%
8.17 Kerala SDL  Nov 26 2025,Debt,0.41%
7.96 Maharashtra SDL  Oct 14 2025,Debt,0.41%
8.22 Karnataka Sdl Dec  9 2025,Debt,0.37%
8.32 Chhattisgarh SDL Jan 13 2026,Debt,0.35%
8.01 Tamil Nadu SDL Apr 20 2026,Debt,0.35%
8.14 Rajasthan SDL Nov 13 2025,Debt,0.35%
8.27 Uttar Pradesh SDL May 13 2025,Debt,0.35%
7.99 Maharashtra SDL  Oct 28 2025,Debt,0.34%
7.97 West Bengal SDL Oct 14 2025,Debt,0.34%
8.18 Andhra Pradesh SDL May 27 2025,Debt,0.30%
8.69 Tamil Nadu SDL Feb 24 2026,Debt,0.29%
8.23 Maharashtra SDL  Sep  9 2025,Debt,0.28%
7.47 Gujarat SDL Oct 27 2025,Debt,0.27%
Triparty Repo,Others,0.27%
8.55 Rajasthan SDL Mar  9 2026,Debt,0.24%
8.65 Rajasthan SDL Feb 24 2026,Debt,0.21%
8.38 Rajasthan SDL Jan 27 2026,Debt,0.21%
8.2 Gujarat SDL Dec  9 2025,Debt,0.21%
8.29 Gujarat SDL Aug 26 2025,Debt,0.21%
8.24 Andhra Pradesh SDL Dec  9 2025,Debt,0.20%
8.16 Kerala SDL  Nov 13 2025,Debt,0.17%
8.15 West Bengal SDL Nov 13 2025,Debt,0.15%
8.32 Maharashtra SDL  Jul 15 2025,Debt,0.14%
8.4 Goa SDL Jan 27 2026,Debt,0.14%
8.15 Uttar Pradesh SDL Nov 13 2025,Debt,0.14%
8.23 Haryana SDL  Sep  9 2025,Debt,0.14%
8.17 West Bengal SDL Sep 23 2025,Debt,0.14%
7.99 Karnataka Sdl Oct 28 2025,Debt,0.14%
8.29 Maharashtra SDL  Aug 26 2025,Debt,0.11%
8.27 Haryana SDL  Dec 23 2025,Debt,0.10%
8.16 Maharashtra SDL  Sep 23 2025,Debt,0.08%
8.23 Uttar Pradesh SDL Dec  9 2025,Debt,0.07%
8.28 Maharashtra SDL  Jul 29 2025,Debt,0.07%
8.27 Tamil Nadu SDL Aug 12 2025,Debt,0.07%
8.23 Uttar Pradesh SDL Sep  9 2025,Debt,0.07%
8.02 Uttar Pradesh SDL Apr 20 2026,Debt,0.07%
8.34 Punjab SDL Jul 15 2025,Debt,0.07%
7.98 Punjab SDL Apr 20 2026,Debt,0.07%
7.96 Punjab SDL Apr 27 2026,Debt,0.07%
5.9 Telangana SDL May 27 2025,Debt,0.07%
8.29 Tamil Nadu SDL Aug 26 2025,Debt,0.06%
Treasury Bill (364D),Others,0.06%
8.19 Chhattisgarh SDL Nov 26 2025,Debt,0.05%
8.53 Chhattisgarh SDL Mar  9 2026,Debt,0.03%
8.25 Maharashtra SDL  May 13 2025,Debt,0.03%
8.38 Orissa SDL Jan 27 2026,Debt,0.02%
8.09 Rajasthan SDL Mar 23 2026,Debt,0.02%
8.29 Kerala SDL  Jul 29 2025,Debt,0.01%
8.16 Haryana SDL  Sep 23 2025,Debt,0.01%
8.29 Tamil Nadu SDL Jul 29 2025,Debt,0.01%
8.18 West Bengal SDL Nov 26 2025,Debt,0.01%
8.25 Madhya Pradesh SDL Sep  9 2025,Debt,0.01%
8.09 Andhra Pradesh SDL Mar 23 2026,Debt,0.00%
Cash Margin,Debt,0.00%
