Company Name,Asset Type,Percentage Allocation
Zomato Ltd.,Equity,8.25%
Info Edge (India) Ltd.,Equity,8.08%
HCL Technologies Ltd.,Equity,7.74%
Bharti Airtel Ltd.,Equity,7.53%
Tata Consultancy Services Ltd.,Equity,7.05%
Infosys Ltd.,Equity,7.04%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,5.53%
Tech Mahindra Ltd.,Equity,4.92%
Fsn ECommerce Ventures Ltd.,Equity,4.88%
PB Fintech Ltd.,Equity,4.32%
Tata Communications Ltd.,Equity,4.24%
Wipro Ltd.,Equity,4.11%
Ltimindtree Ltd.,Equity,3.57%
One 97 Communications Ltd.,Equity,2.89%
Vodafone Idea Ltd.,Equity,2.55%
Coforge Ltd.,Equity,2.35%
Persistent Systems Ltd.,Equity,2.32%
Tata Elxsi Ltd.,Equity,1.89%
Indiamart Intermesh Ltd.,Equity,1.71%
KPIT Technologies Ltd.,Equity,1.51%
Mphasis Ltd.,Equity,1.40%
Cyient Ltd.,Equity,1.19%
L&T Technology Services Ltd.,Equity,0.89%
Sonata Software Ltd.,Equity,0.89%
Birlasoft Ltd.,Equity,0.72%
Oracle Financial Services Software Ltd.,Equity,0.61%
Tanla Platforms Ltd.,Equity,0.48%
Intellect Design Arena Ltd.,Equity,0.46%
Affle (India) Ltd.,Equity,0.43%
Happiest Minds Technologies Ltd.,Equity,0.36%
Repo,Others,0.05%
Cash,Others,0.04%
