Company Name,Asset Type,Percentage Allocation
Net Receivables/(Payable),Others,34.55%
HDFC Bank Ltd.,Equity,6.10%
ICICI Bank Ltd.,Equity,5.91%
Reliance Industries Ltd.,Equity,5.18%
Larsen & Toubro Ltd.,Equity,4.06%
Tata Motors Ltd.,Equity,3.05%
CBLO(CCIL),Others,2.97%
Infosys Ltd.,Equity,2.73%
Tata Consultancy Services Ltd.,Equity,2.41%
7.26 GOI Aug 22 2032,Debt,2.37%
Treasury Bill (91D),Others,2.05%
Treasury Bill (91D),Others,2.04%
7.18 GOI Jul 24 2037,Debt,2.04%
Hindustan Unilever Ltd.,Equity,1.94%
Kotak Mahindra Bank Ltd.,Equity,1.92%
9 Bharti Telecom Ltd. Dec  4 2028,Debt,1.77%
Tata Steel Ltd.,Equity,1.56%
7.8 HDFC Bank Ltd. Sep  6 2032,Debt,1.53%
Treasury Bill (182D),Others,1.53%
Treasury Bill (364D),Others,1.53%
6.54 GOI Jan 17 2032,Debt,1.48%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.35%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,1.34%
Bajaj Finance Ltd.,Equity,1.33%
DLF Ltd.,Equity,1.24%
Mahindra & Mahindra Ltd.,Equity,1.21%
R R Kabel Ltd.,Equity,1.20%
7.8 Mahanagar Telephone Nigam Ltd. Nov  7 2033,Debt,1.14%
Ultratech Cement Ltd.,Equity,1.12%
Bharti Airtel Ltd.,Equity,1.12%
Sun Pharmaceuticals Ind Ltd.,Equity,1.05%
7.18 GOI Aug 14 2033,Debt,1.03%
7.86 HDFC Bank Ltd. Dec  2 2032,Debt,1.02%
Treasury Bill (182D),Others,1.02%
Zomato Ltd.,Equity,1.02%
Grasim Industries Ltd.,Equity,0.89%
Manappuram Finance Ltd.,Equity,0.87%
Ambuja Cements Ltd.,Equity,0.84%
Titan Company Ltd.,Equity,0.83%
Inox India Ltd.,Equity,0.82%
Persistent Systems Ltd.,Equity,0.82%
GOI,Debt,0.79%
Sona Blw Precision Forgings Ltd.,Equity,0.79%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,0.77%
Mankind Pharma Ltd.,Equity,0.77%
Mrs Bectors Food Specialities Ltd.,Equity,0.72%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.64%
Birlasoft Ltd.,Equity,0.64%
SBI Life Insurance Company Ltd.,Equity,0.63%
Granules India Ltd.,Equity,0.63%
Tata Technologies Ltd.,Equity,0.61%
Nestle India Ltd.,Equity,0.60%
Bharat Heavy Electricals Ltd.,Equity,0.58%
Netweb Technologies India Ltd.,Equity,0.58%
Tech Mahindra Ltd.,Equity,0.54%
Bharat Dynamics Ltd.,Equity,0.53%
Craftsman Automation Ltd.,Equity,0.53%
Godrej Consumer Products Ltd.,Equity,0.52%
8.5 Muthoot Finance Ltd. Jan 29 2026,Debt,0.51%
7.3 GOI Jun 19 2053,Debt,0.51%
Hindalco Industries Ltd.,Equity,0.50%
7.25 GOI Jun 12 2063,Debt,0.50%
Minda Corporation Ltd.,Equity,0.48%
Coforge Ltd.,Equity,0.47%
Dixon Technologies (India) Ltd.,Equity,0.42%
CreditAccess Grameen Ltd.,Equity,0.41%
ACC Ltd.,Equity,0.41%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.41%
Polycab India Ltd.,Equity,0.38%
Vedanta Ltd.,Equity,0.37%
Tata Power Company Ltd.,Equity,0.37%
Canara Bank,Equity,0.36%
Sansera Engineering Ltd.,Equity,0.36%
Apollo Hospitals Enterprise Ltd.,Equity,0.36%
State Bank Of India,Equity,0.35%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.35%
United Spirits Ltd.,Equity,0.35%
National Thermal Power Corporation Ltd.,Equity,0.32%
Teamlease Services Ltd.,Equity,0.29%
Jio Financial Services Ltd.,Equity,0.28%
Honasa Consumer Ltd.,Equity,0.28%
7.99 HDFC Bank Ltd. Jul 11 2024,Debt,0.26%
India Cements Ltd.,Equity,0.25%
Pidilite Industries Ltd.,Equity,0.22%
Punjab National Bank,Equity,0.22%
7.69 National Bank For Agriculture & Rural Development (Nabard) Mar 31 2032,Debt,0.21%
Aurobindo Pharma Ltd.,Equity,0.20%
6.19 GOI Sep 16 2034,Debt,0.19%
Zee Entertainment Enterprises Ltd.,Equity,0.19%
Trent Ltd.,Equity,0.18%
Bandhan Bank Ltd.,Equity,0.16%
Dr Reddys Laboratories Ltd.,Equity,0.15%
Torrent Pharmaceuticals Ltd.,Equity,0.14%
Zydus Lifesciences Ltd.,Equity,0.14%
Dabur India Ltd.,Equity,0.13%
Maruti Suzuki India Ltd.,Equity,0.12%
JSW Steel Ltd.,Equity,0.11%
Bharat Petroleum Corporation Ltd.,Equity,0.11%
8.2 Power Grid Corporation Of India Ltd. Jan 23 2030,Debt,0.11%
National Aluminium Company Ltd.,Equity,0.10%
Bajaj Finserv Ltd.,Equity,0.07%
The Indian Hotels Company Ltd.,Equity,0.06%
NMDC Ltd.,Equity,0.06%
Jindal Steel & Power Ltd.,Equity,0.06%
Exide Industries Ltd.,Equity,0.05%
7.72 GOI Oct 26 2055,Debt,0.04%
United Breweries Ltd.,Equity,0.04%
ICICI Lombard General Insurance Company Ltd.,Equity,0.04%
Hindustan Petroleum Corporation Ltd.,Equity,0.03%
Biocon Ltd.,Equity,0.03%
Havells India Ltd.,Equity,0.02%
Marico Ltd.,Equity,0.02%
Cipla Ltd.,Equity,0.02%
Asian Paints Ltd.,Equity,0.01%
Asian Paints Ltd.,Equity,-0.01%
Tech Mahindra Ltd.,Equity,-0.02%
Cipla Ltd.,Equity,-0.02%
Marico Ltd.,Equity,-0.02%
Havells India Ltd.,Equity,-0.02%
Biocon Ltd.,Equity,-0.03%
Hindustan Petroleum Corporation Ltd.,Equity,-0.03%
Godrej Consumer Products Ltd.,Equity,-0.04%
ICICI Lombard General Insurance Company Ltd.,Equity,-0.04%
United Breweries Ltd.,Equity,-0.04%
Exide Industries Ltd.,Equity,-0.05%
DLF Ltd.,Equity,-0.05%
Jindal Steel & Power Ltd.,Equity,-0.06%
NMDC Ltd.,Equity,-0.06%
The Indian Hotels Company Ltd.,Equity,-0.06%
Bajaj Finserv Ltd.,Equity,-0.07%
National Aluminium Company Ltd.,Equity,-0.10%
Bharat Petroleum Corporation Ltd.,Equity,-0.11%
JSW Steel Ltd.,Equity,-0.11%
Maruti Suzuki India Ltd.,Equity,-0.12%
Dabur India Ltd.,Equity,-0.13%
Zydus Lifesciences Ltd.,Equity,-0.14%
State Bank Of India,Equity,-0.15%
Dr Reddys Laboratories Ltd.,Equity,-0.15%
Bandhan Bank Ltd.,Equity,-0.16%
Trent Ltd.,Equity,-0.18%
Zee Entertainment Enterprises Ltd.,Equity,-0.19%
Aurobindo Pharma Ltd.,Equity,-0.20%
Punjab National Bank,Equity,-0.22%
Pidilite Industries Ltd.,Equity,-0.23%
United Spirits Ltd.,Equity,-0.24%
India Cements Ltd.,Equity,-0.25%
ICICI Prudential Life Insurance Company Ltd.,Equity,-0.26%
Crompton Greaves Consumer Electrcials Ltd.,Equity,-0.35%
Apollo Hospitals Enterprise Ltd.,Equity,-0.36%
Canara Bank,Equity,-0.37%
Vedanta Ltd.,Equity,-0.37%
ACC Ltd.,Equity,-0.41%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,-0.41%
Sun Pharmaceuticals Ind Ltd.,Equity,-0.43%
Infosys Ltd.,Equity,-0.48%
Hindalco Industries Ltd.,Equity,-0.51%
Bharat Heavy Electricals Ltd.,Equity,-0.59%
Granules India Ltd.,Equity,-0.63%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,-0.78%
Ambuja Cements Ltd.,Equity,-0.85%
Manappuram Finance Ltd.,Equity,-0.88%
Grasim Industries Ltd.,Equity,-0.89%
Tata Consultancy Services Ltd.,Equity,-1.18%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,-1.35%
Tata Steel Ltd.,Equity,-1.57%
Tata Motors Ltd.,Equity,-1.74%
Larsen & Toubro Ltd.,Equity,-1.88%
Kotak Mahindra Bank Ltd.,Equity,-1.93%
Hindustan Unilever Ltd.,Equity,-1.95%
ICICI Bank Ltd.,Equity,-2.89%
Reliance Industries Ltd.,Equity,-3.12%
HDFC Bank Ltd.,Equity,-4.11%
