Company Name,Asset Type,Percentage Allocation
Derivative,Others,33.07%
HDFC Bank Ltd.,Equity,6.34%
5.63 GOI Apr 12 2026,Debt,6.15%
ICICI Bank Ltd.,Equity,5.23%
Triparty Repo,Others,4.49%
Reliance Industries Ltd.,Equity,4.01%
ITC Ltd.,Equity,3.25%
Indusind Bank Ltd.,Equity,2.94%
Tata Power Company Ltd.,Equity,2.94%
8.5 JM Financial Products Ltd. May 16 2025,Debt,2.93%
Bajaj Finance Ltd.,Equity,2.84%
Sun Pharmaceuticals Ind Ltd.,Equity,2.67%
Larsen & Toubro Ltd.,Equity,2.64%
Tata Motors Ltd.,Equity,2.59%
6.75 Piramal Capital & Housing Finance Ltd. (Erstwhile Dewan Housing Finance Corporation Ltd.) Sep 26 2031,Debt,2.42%
5.15 GOI Nov  9 2025,Debt,2.05%
6.73 Tamil Nadu SDL May 13 2030,Debt,2.03%
6.91 Maharashtra SDL  Sep 15 2033,Debt,2.01%
Ambuja Cements Ltd.,Equity,1.98%
Brookfield REIT,Others,1.97%
Tata Steel Ltd.,Equity,1.82%
Bajaj Finserv Ltd.,Equity,1.78%
Maruti Suzuki India Ltd.,Equity,1.74%
Hindalco Industries Ltd.,Equity,1.68%
Ltimindtree Ltd.,Equity,1.38%
Adani Ports and Special Economic Zone Ltd.,Equity,1.32%
Ultratech Cement Ltd.,Equity,1.31%
8.15 Export Import Bank Of India Jan 21 2030,Debt,1.30%
7.74 Hindustan Petroleum Corporation Ltd. Mar  2 2028,Debt,1.27%
7.79 Small Industries Development Bank Of India May 14 2027,Debt,1.27%
9.95 Indostar Capital Finance Ltd. Mar 21 2025,Debt,1.26%
7.18 Maharashtra SDL  Jun 28 2029,Debt,1.25%
Tata Consultancy Services Ltd.,Equity,1.08%
Trent Ltd.,Equity,1.02%
Bharti Airtel Ltd.,Equity,1.02%
HCL Technologies Ltd.,Equity,0.96%
Axis Bank Ltd.,Equity,0.94%
Nestle India Ltd.,Equity,0.90%
NLC India Ltd.,Equity,0.85%
Hitachi Energy India Ltd.,Equity,0.81%
Zomato Ltd.,Equity,0.78%
Net Receivables/(Payable),Others,0.78%
TVS Motor Company Ltd.,Equity,0.76%
State Bank Of India,Equity,0.75%
Affle (India) Ltd.,Equity,0.66%
eClerx Services Ltd.,Equity,0.66%
Tech Mahindra Ltd.,Equity,0.65%
PVR INOX Ltd.,Equity,0.63%
Concord Biotech Ltd.,Equity,0.63%
Brigade Enterprises Ltd.,Equity,0.63%
Ajanta Pharma Ltd.,Equity,0.62%
Hindustan Unilever Ltd.,Equity,0.61%
BSE Ltd.,Equity,0.59%
The Jammu & Kashmir Bank Ltd.,Equity,0.55%
The Indian Hotels Company Ltd.,Equity,0.53%
Westlife Foodworld Ltd.,Equity,0.51%
Punjab National Bank,Equity,0.51%
Coforge Ltd.,Equity,0.50%
Birla Corporation Ltd.,Equity,0.46%
Titan Company Ltd.,Equity,0.44%
SRF Ltd.,Equity,0.43%
Tata Communications Ltd.,Equity,0.41%
Five-Star Business Finance Ltd.,Equity,0.37%
India Shelter Finance Corporation Ltd.,Equity,0.07%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
SRF Ltd.,Equity,-0.44%
Bharti Airtel Ltd.,Equity,-0.50%
Hindustan Unilever Ltd.,Equity,-0.61%
HCL Technologies Ltd.,Equity,-0.96%
Larsen & Toubro Ltd.,Equity,-1.04%
Adani Ports and Special Economic Zone Ltd.,Equity,-1.33%
Hindalco Industries Ltd.,Equity,-1.69%
Sun Pharmaceuticals Ind Ltd.,Equity,-1.72%
Maruti Suzuki India Ltd.,Equity,-1.76%
Bajaj Finance Ltd.,Equity,-1.79%
Bajaj Finserv Ltd.,Equity,-1.80%
Tata Steel Ltd.,Equity,-1.83%
Tata Motors Ltd.,Equity,-1.90%
Indusind Bank Ltd.,Equity,-1.91%
Ambuja Cements Ltd.,Equity,-2.00%
Reliance Industries Ltd.,Equity,-2.04%
HDFC Bank Ltd.,Equity,-2.12%
ITC Ltd.,Equity,-2.21%
ICICI Bank Ltd.,Equity,-2.47%
Tata Power Company Ltd.,Equity,-2.96%
