Company Name,Asset Type,Percentage Allocation
Derivative,Others,48.69%
Term Deposit,Debt,12.65%
Cash,Others,7.10%
HDFC Bank Ltd.,Equity,6.48%
Treasury Bill (182D),Others,6.30%
ICICI Bank Ltd.,Equity,5.63%
7.18 GOI Aug 14 2033,Debt,4.94%
Mahindra & Mahindra Ltd.,Equity,4.54%
Axis Bank Ltd.,Equity,3.64%
Sun Pharmaceuticals Ind Ltd.,Equity,3.48%
7.06 GOI Apr 10 2028,Debt,3.26%
Bajaj Auto Ltd.,Equity,3.11%
Dr Reddys Laboratories Ltd.,Equity,2.65%
Hindustan Unilever Ltd.,Equity,2.65%
Tech Mahindra Ltd.,Equity,2.49%
Asian Paints Ltd.,Equity,2.42%
Hindustan Petroleum Corporation Ltd.,Equity,1.69%
Reliance Industries Ltd.,Equity,1.52%
State Bank Of India,Equity,1.44%
Trent Ltd.,Equity,1.33%
Kotak Mahindra Bank Ltd.,Equity,1.30%
India Cements Ltd.,Equity,1.25%
Ambuja Cements Ltd.,Equity,1.20%
Lupin Ltd.,Equity,1.12%
Havells India Ltd.,Equity,1.08%
Titan Company Ltd.,Equity,0.97%
Larsen & Toubro Ltd.,Equity,0.88%
Power Grid Corporation Of India Ltd.,Equity,0.85%
Infosys Ltd.,Equity,0.84%
Bharat Petroleum Corporation Ltd.,Equity,0.78%
Indian Oil Corporation Ltd.,Equity,0.69%
Tata Motors Ltd.,Equity,0.65%
Marico Ltd.,Equity,0.62%
HCL Technologies Ltd.,Equity,0.54%
Tata Power Company Ltd.,Equity,0.50%
Kirloskar Oil Engines Ltd.,Equity,0.48%
Container Corporation Of India Ltd.,Equity,0.47%
Indusind Bank Ltd.,Equity,0.46%
Bharti Airtel Ltd.,Equity,0.43%
National Thermal Power Corporation Ltd.,Equity,0.43%
GAIL (India) Ltd.,Equity,0.43%
Sapphire Foods India Ltd.,Equity,0.36%
Zomato Ltd.,Equity,0.36%
Tata Steel Ltd.,Equity,0.35%
Affle (India) Ltd.,Equity,0.34%
Alkem Laboratories Ltd.,Equity,0.33%
Bharat Electronics Ltd.,Equity,0.33%
ACC Ltd.,Equity,0.32%
United Spirits Ltd.,Equity,0.32%
Maruti Suzuki India Ltd.,Equity,0.28%
Jyothy Labs Ltd.,Equity,0.27%
Amber Enterprises India Ltd.,Equity,0.26%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.26%
Jubilant Foodworks Ltd.,Equity,0.24%
Teamlease Services Ltd.,Equity,0.24%
Ultratech Cement Ltd.,Equity,0.24%
Metropolis Healthcare Ltd.,Equity,0.23%
Hindustan Aeronautics Ltd.,Equity,0.22%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.22%
PB Fintech Ltd.,Equity,0.22%
Oil & Natural Gas Corporation Ltd.,Equity,0.21%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.20%
Nuvoco Vistas Corporation Ltd.,Equity,0.19%
JK Lakshmi Cement Ltd.,Equity,0.19%
Westlife Foodworld Ltd.,Equity,0.16%
Voltas Ltd.,Equity,0.16%
Eris Lifesciences Ltd.,Equity,0.15%
Shankara Building Products Ltd.,Equity,0.05%
Tata Motors Ltd.,Equity,-0.14%
Container Corporation Of India Ltd.,Equity,-0.17%
Marico Ltd.,Equity,-0.28%
ACC Ltd.,Equity,-0.32%
Tata Power Company Ltd.,Equity,-0.51%
Indian Oil Corporation Ltd.,Equity,-0.69%
Bharat Petroleum Corporation Ltd.,Equity,-0.79%
Power Grid Corporation Of India Ltd.,Equity,-0.86%
State Bank Of India,Equity,-0.93%
Titan Company Ltd.,Equity,-0.98%
Reliance Industries Ltd.,Equity,-0.98%
Havells India Ltd.,Equity,-1.09%
Lupin Ltd.,Equity,-1.13%
Ambuja Cements Ltd.,Equity,-1.22%
India Cements Ltd.,Equity,-1.26%
Kotak Mahindra Bank Ltd.,Equity,-1.31%
Trent Ltd.,Equity,-1.34%
Hindustan Petroleum Corporation Ltd.,Equity,-1.70%
Tech Mahindra Ltd.,Equity,-2.05%
Asian Paints Ltd.,Equity,-2.44%
Hindustan Unilever Ltd.,Equity,-2.58%
Dr Reddys Laboratories Ltd.,Equity,-2.67%
Sun Pharmaceuticals Ind Ltd.,Equity,-2.99%
Axis Bank Ltd.,Equity,-3.01%
Bajaj Auto Ltd.,Equity,-3.13%
ICICI Bank Ltd.,Equity,-4.43%
Mahindra & Mahindra Ltd.,Equity,-4.55%
HDFC Bank Ltd.,Equity,-5.16%
