Company Name,Asset Type,Percentage Allocation
Derivative,Others,56.77%
Hindustan Unilever Ltd.,Equity,5.50%
ICICI Bank Ltd.,Equity,5.25%
Triparty Repo,Others,4.71%
Infosys Ltd.,Equity,4.64%
HDFC Bank Ltd.,Equity,4.36%
Sun Pharmaceuticals Ind Ltd.,Equity,4.35%
Tata Motors - DVR - A - ORDY,Equity,4.09%
Reliance Industries Ltd.,Equity,3.93%
ITC Ltd.,Equity,3.91%
National Thermal Power Corporation Ltd.,Equity,3.82%
Embassy Office Parks Reit,Others,3.58%
Axis Bank Ltd.,Equity,3.29%
Adani Ports and Special Economic Zone Ltd.,Equity,3.07%
7.06 GOI Apr 10 2028,Debt,3.00%
Hero Motocorp Ltd.,Equity,2.55%
Maruti Suzuki India Ltd.,Equity,2.49%
Tata Steel Ltd.,Equity,2.46%
Bajaj Finance Ltd.,Equity,2.20%
4.45 GOI Oct 30 2034,Debt,2.11%
Larsen & Toubro Ltd.,Equity,1.57%
HDFC Life Insurance Company Ltd.,Equity,1.48%
Cash Margin,Debt,1.43%
8.9508 Pipeline Infrastructure Pvt. Ltd. Mar 22 2024,Debt,1.21%
7.18 GOI Aug 14 2033,Debt,1.20%
Angel One Ltd. (Erstwhile Angel Broking Ltd.) (90D),Others,1.19%
7.26 GOI Feb  6 2033,Debt,1.16%
Treasury Bill (91D),Others,1.14%
Motilal Oswal Financial Services Ltd. (325D),Others,1.13%
Power Grid Corporation Of India Ltd.,Equity,1.07%
Coal India Ltd.,Equity,0.99%
Ambuja Cements Ltd.,Equity,0.93%
Treasury Bill (182D),Others,0.89%
Oil & Natural Gas Corporation Ltd.,Equity,0.84%
6.18 Tata Power Company Ltd. Feb 23 2024,Debt,0.78%
Lupin Ltd.,Equity,0.71%
6.7 DLF Cyber City Developers Ltd. Sep 30 2024,Debt,0.71%
State Bank Of India,Equity,0.69%
HCL Technologies Ltd.,Equity,0.69%
JSW Steel Ltd.,Equity,0.63%
Ultratech Cement Ltd.,Equity,0.56%
Indian Oil Corporation Ltd.,Equity,0.54%
Grasim Industries Ltd.,Equity,0.52%
Tata Consumer Products Ltd.,Equity,0.51%
Treasury Bill (91D),Others,0.51%
Bharti Airtel Ltd.,Equity,0.48%
Treasury Bill (364D),Others,0.48%
Treasury Bill (91D),Others,0.48%
Treasury Bill (91D),Others,0.47%
Canara Bank,Equity,0.46%
GAIL (India) Ltd.,Equity,0.46%
Mahindra & Mahindra Ltd.,Equity,0.45%
6.17 Muthoot Finance Ltd. Feb 23 2024,Debt,0.45%
Treasury Bill (364D),Others,0.45%
Steel Authority Of India Ltd.,Equity,0.37%
Dr Reddys Laboratories Ltd.,Equity,0.35%
ICICI Lombard General Insurance Company Ltd.,Equity,0.31%
9.25 Motilal Oswal Finvest Ltd. Nov  1 2024,Debt,0.30%
8.35 JM Financial Credit Solutions Ltd. Apr 26 2024,Debt,0.30%
Treasury Bill (182D),Others,0.30%
Jindal Steel & Power Ltd.,Equity,0.25%
7.45 Land Kart Builders Pvt. Ltd. Dec 13 2024,Debt,0.20%
SBI Life Insurance Company Ltd.,Equity,0.19%
Treasury Bill (364D),Others,0.18%
Asian Paints Ltd.,Equity,0.16%
7.4 Muthoot Finance Ltd. Jan  5 2024,Debt,0.15%
Exide Industries Ltd.,Equity,0.10%
Dabur India Ltd.,Equity,0.09%
Tata Power Company Ltd.,Equity,0.07%
Current Assets,Others,0.06%
Apollo Hospitals Enterprise Ltd.,Equity,0.05%
United Spirits Ltd.,Equity,0.04%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.04%
Bank Of Baroda,Equity,0.03%
Mahanagar Gas Ltd.,Equity,0.03%
8.49 National Thermal Power Corporation Ltd. Mar 25 2025,Debt,0.01%
HDFC Life Insurance Company Ltd.,Equity,-0.01%
Sun Pharmaceuticals Ind Ltd.,Equity,-0.01%
Reliance Industries Ltd.,Equity,-0.01%
Bajaj Finance Ltd.,Equity,-0.01%
Maruti Suzuki India Ltd.,Equity,-0.01%
Infosys Ltd.,Equity,-0.02%
HDFC Bank Ltd.,Equity,-0.02%
ICICI Bank Ltd.,Equity,-0.02%
ITC Ltd.,Equity,-0.02%
Mahanagar Gas Ltd.,Equity,-0.03%
Hindustan Unilever Ltd.,Equity,-0.03%
Bank Of Baroda,Equity,-0.03%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,-0.04%
United Spirits Ltd.,Equity,-0.04%
Apollo Hospitals Enterprise Ltd.,Equity,-0.05%
HDFC Life Insurance Company Ltd.,Equity,-0.07%
Tata Power Company Ltd.,Equity,-0.07%
Dabur India Ltd.,Equity,-0.10%
Exide Industries Ltd.,Equity,-0.11%
Asian Paints Ltd.,Equity,-0.16%
SBI Life Insurance Company Ltd.,Equity,-0.20%
Jindal Steel & Power Ltd.,Equity,-0.25%
