Company Name,Asset Type,Percentage Allocation
Net Receivables/(Payable),Others,34.07%
Net Receivables/(Payable),Others,34.07%
Net Receivables/(Payable),Others,34.07%
Net Receivables/(Payable),Others,34.07%
Invesco Mutual Fund (Invesco India Short Term Fund - Direct - Growth),Debt,12.29%
United Spirits Ltd.,Equity,8.78%
Sun Pharmaceuticals Ind Ltd.,Equity,8.33%
Triparty Repo,Others,8.15%
Triparty Repo,Others,8.15%
Triparty Repo,Others,8.15%
Triparty Repo,Others,8.15%
State Bank Of India,Equity,5.18%
Invesco Mutual Fund (Invesco India Liquid Fund - Direct - Growth),Debt,4.45%
5.63 GOI Apr 12 2026,Debt,3.73%
Ambuja Cements Ltd.,Equity,3.60%
Axis Bank Ltd.,Equity,3.39%
HDFC Bank Ltd.,Equity,1.66%
HDFC Life Insurance Company Ltd.,Equity,1.64%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.57%
7.18 GOI Aug 14 2033,Debt,1.54%
Tata Consultancy Services Ltd.,Equity,1.38%
Trent Ltd.,Equity,1.18%
Jio Financial Services Ltd.,Equity,1.11%
Equitas Small Finance Bank Ltd.,Equity,1.08%
Avenue Supermarts Ltd.,Equity,1.08%
Indusind Bank Ltd.,Equity,1.02%
REC Ltd.,Equity,1.00%
SBI Life Insurance Company Ltd.,Equity,0.96%
Bajaj Finance Ltd.,Equity,0.95%
Zomato Ltd.,Equity,0.93%
PI Industries Ltd.,Equity,0.90%
NHPC Ltd.,Equity,0.82%
Infosys Ltd.,Equity,0.81%
Divi Laboratories Ltd.,Equity,0.80%
Hindustan Aeronautics Ltd.,Equity,0.76%
Abbott India Ltd.,Equity,0.73%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.73%
ACC Ltd.,Equity,0.71%
Netweb Technologies India Ltd.,Equity,0.71%
Bharat Dynamics Ltd.,Equity,0.70%
Coforge Ltd.,Equity,0.64%
Power Grid Corporation Of India Ltd.,Equity,0.63%
Interglobe Aviation Ltd.,Equity,0.62%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.62%
Max Healthcare Institute Ltd.,Equity,0.60%
Voltas Ltd.,Equity,0.58%
Endurance Technologies Ltd.,Equity,0.58%
Hindustan Petroleum Corporation Ltd.,Equity,0.57%
Ltimindtree Ltd.,Equity,0.55%
Bank Of Baroda,Equity,0.55%
Kajaria Ceramics Ltd.,Equity,0.54%
Dixon Technologies (India) Ltd.,Equity,0.54%
Colgate-Palmolive Ltd.,Equity,0.53%
JK Lakshmi Cement Ltd.,Equity,0.52%
Metro Brands Ltd.,Equity,0.52%
CIE Automotive India Ltd.,Equity,0.52%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.51%
Havells India Ltd.,Equity,0.50%
UNO Minda Ltd.,Equity,0.50%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.47%
Ratnamani Metals & Tubes Ltd.,Equity,0.46%
Sobha Ltd.,Equity,0.45%
BSE Ltd.,Equity,0.42%
Home First Finance Company India Ltd.,Equity,0.41%
Kaynes Technology India Pvt. Ltd.,Equity,0.39%
Uniparts India Ltd.,Equity,0.37%
Syrma SGS Technology Ltd.,Equity,0.37%
CreditAccess Grameen Ltd.,Equity,0.37%
PVR INOX Ltd.,Equity,0.36%
Stylam Industries Ltd.,Equity,0.36%
Central Depository Services (India) Ltd.,Equity,0.32%
Krsnaa Diagnostics Ltd.,Equity,0.32%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,0.24%
Honeywell Automation India Ltd.,Equity,0.24%
KNR Constructions Ltd.,Equity,0.22%
Aether Industries Ltd.,Equity,0.22%
PNC Infratech Ltd.,Equity,0.20%
Happy Forgings Ltd.,Equity,0.05%
SBI Life Insurance Company Ltd.,Equity,-0.33%
SBI Life Insurance Company Ltd.,Equity,-0.33%
SBI Life Insurance Company Ltd.,Equity,-0.33%
SBI Life Insurance Company Ltd.,Equity,-0.33%
ACC Ltd.,Equity,-0.72%
ACC Ltd.,Equity,-0.72%
ACC Ltd.,Equity,-0.72%
ACC Ltd.,Equity,-0.72%
Tata Consultancy Services Ltd.,Equity,-1.39%
Tata Consultancy Services Ltd.,Equity,-1.39%
Tata Consultancy Services Ltd.,Equity,-1.39%
Tata Consultancy Services Ltd.,Equity,-1.39%
HDFC Life Insurance Company Ltd.,Equity,-1.65%
HDFC Life Insurance Company Ltd.,Equity,-1.65%
HDFC Life Insurance Company Ltd.,Equity,-1.65%
HDFC Life Insurance Company Ltd.,Equity,-1.65%
Axis Bank Ltd.,Equity,-3.41%
Axis Bank Ltd.,Equity,-3.41%
Axis Bank Ltd.,Equity,-3.41%
Axis Bank Ltd.,Equity,-3.41%
Ambuja Cements Ltd.,Equity,-3.64%
Ambuja Cements Ltd.,Equity,-3.64%
Ambuja Cements Ltd.,Equity,-3.64%
Ambuja Cements Ltd.,Equity,-3.64%
State Bank Of India,Equity,-5.22%
State Bank Of India,Equity,-5.22%
State Bank Of India,Equity,-5.22%
State Bank Of India,Equity,-5.22%
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%
Sun Pharmaceuticals Ind Ltd.,Equity,-8.38%
United Spirits Ltd.,Equity,-8.85%
United Spirits Ltd.,Equity,-8.85%
United Spirits Ltd.,Equity,-8.85%
United Spirits Ltd.,Equity,-8.85%
Derivative,Others,-25.87%
