Company Name,Asset Type,Percentage Allocation
Derivative,Others,49.00%
Larsen & Toubro Ltd.,Equity,7.60%
7.26 GOI Feb  6 2033,Debt,7.26%
Triparty Repo,Others,6.14%
Coal India Ltd.,Equity,5.43%
Grasim Industries Ltd.,Equity,5.01%
Reliance Industries Ltd.,Equity,4.22%
Cash Margin,Debt,3.89%
HDFC Bank Ltd.,Equity,3.88%
Hindustan Unilever Ltd.,Equity,3.76%
Power Grid Corporation Of India Ltd.,Equity,3.04%
HCL Technologies Ltd.,Equity,2.90%
7.26 GOI Aug 22 2032,Debt,2.90%
5.74 GOI Nov 15 2026,Debt,2.79%
ICICI Bank Ltd.,Equity,2.67%
Tata Steel Ltd.,Equity,2.47%
ITC Ltd.,Equity,2.28%
Maruti Suzuki India Ltd.,Equity,2.05%
Ultratech Cement Ltd.,Equity,1.85%
Indusind Bank Ltd.,Equity,1.83%
Infosys Ltd.,Equity,1.65%
Sun Pharmaceuticals Ind Ltd.,Equity,1.61%
7.83 Small Industries Development Bank Of India Nov 24 2028,Debt,1.45%
Bandhan Bank Ltd.,Equity,1.45%
8.8 Manappuram Finance Ltd. Sep 29 2025,Debt,1.44%
7.79 HDFC Bank Ltd. Mar  4 2025,Debt,1.44%
7.44 REC Ltd. Apr 30 2026,Debt,1.44%
Asian Paints Ltd.,Equity,1.40%
Axis Bank Ltd.,Equity,1.27%
Canara Bank,Equity,1.23%
Bharti Airtel Ltd.,Equity,1.07%
State Bank Of India,Equity,1.02%
Aditya Birla Fashion & Retail Ltd.,Equity,0.97%
LIC Housing Finance Ltd.,Equity,0.93%
Tata Motors Ltd.,Equity,0.90%
Tata Consultancy Services Ltd.,Equity,0.86%
Jupiter Life Line Hospitals Ltd.,Equity,0.82%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.82%
Steel Authority Of India Ltd.,Equity,0.77%
National Thermal Power Corporation Ltd.,Equity,0.72%
DLF Ltd.,Equity,0.69%
Mahindra & Mahindra Ltd.,Equity,0.63%
NMDC Ltd.,Equity,0.61%
Dabur India Ltd.,Equity,0.48%
Max Financial Services Ltd.,Equity,0.44%
Jindal Steel & Power Ltd.,Equity,0.43%
Current Assets,Others,0.36%
JSW Steel Ltd.,Equity,0.34%
HDFC Life Insurance Company Ltd.,Equity,0.28%
Tech Mahindra Ltd.,Equity,0.26%
Bharat Electronics Ltd.,Equity,0.12%
Bharti Airtel Ltd.,Equity,0.11%
Wipro Ltd.,Equity,0.02%
Wipro Ltd.,Equity,-0.02%
Bharat Electronics Ltd.,Equity,-0.12%
JSW Steel Ltd.,Equity,-0.35%
Dabur India Ltd.,Equity,-0.49%
Mahindra & Mahindra Ltd.,Equity,-0.63%
DLF Ltd.,Equity,-0.70%
Infosys Ltd.,Equity,-0.72%
Steel Authority Of India Ltd.,Equity,-0.78%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,-0.82%
Sun Pharmaceuticals Ind Ltd.,Equity,-0.85%
Canara Bank,Equity,-1.24%
Asian Paints Ltd.,Equity,-1.41%
ITC Ltd.,Equity,-1.42%
ICICI Bank Ltd.,Equity,-1.44%
Bandhan Bank Ltd.,Equity,-1.46%
HDFC Bank Ltd.,Equity,-1.78%
Indusind Bank Ltd.,Equity,-1.84%
Ultratech Cement Ltd.,Equity,-1.85%
Maruti Suzuki India Ltd.,Equity,-2.07%
Tata Steel Ltd.,Equity,-2.08%
HCL Technologies Ltd.,Equity,-2.76%
Power Grid Corporation Of India Ltd.,Equity,-3.06%
Hindustan Unilever Ltd.,Equity,-3.09%
Reliance Industries Ltd.,Equity,-3.27%
Grasim Industries Ltd.,Equity,-3.93%
Coal India Ltd.,Equity,-4.60%
Larsen & Toubro Ltd.,Equity,-6.22%
