Company Name,Asset Type,Percentage Allocation
Derivative,Others,28.29%
Treasury Bill (91D),Others,8.22%
Triparty Repo,Others,6.17%
HDFC Bank Ltd.,Equity,5.30%
Nifty,Equity,4.33%
Treasury Bill (364D),Others,4.11%
7.54 Small Industries Development Bank Of India Jan 12 2026,Debt,4.10%
Treasury Bill (91D),Others,4.07%
Treasury Bill (364D),Others,4.07%
ICICI Bank Ltd.,Equity,3.09%
Reliance Industries Ltd.,Equity,2.72%
Sun Pharmaceuticals Ind Ltd.,Equity,2.59%
Infosys Ltd.,Equity,2.37%
National Thermal Power Corporation Ltd.,Equity,2.24%
ITC Ltd.,Equity,2.07%
Kotak Mahindra Bank Ltd.,Equity,2.01%
Coal India Ltd.,Equity,1.99%
Maruti Suzuki India Ltd.,Equity,1.72%
Hindalco Industries Ltd.,Equity,1.64%
Larsen & Toubro Ltd.,Equity,1.60%
Grasim Industries Ltd.,Equity,1.59%
DLF Ltd.,Equity,1.48%
Zee Entertainment Enterprises Ltd.,Equity,1.36%
Net Receivables/(Payable),Others,1.34%
State Bank Of India,Equity,1.30%
Tata Power Company Ltd.,Equity,1.29%
Interglobe Aviation Ltd.,Equity,1.25%
Axis Bank Ltd.,Equity,1.16%
Bharti Airtel Ltd.,Equity,1.13%
HCL Technologies Ltd.,Equity,1.11%
Jindal Steel & Power Ltd.,Equity,1.08%
Granules India Ltd.,Equity,1.00%
United Spirits Ltd.,Equity,0.97%
Hindustan Unilever Ltd.,Equity,0.92%
Oil & Natural Gas Corporation Ltd.,Equity,0.91%
Bajaj Finserv Ltd.,Equity,0.90%
Havells India Ltd.,Equity,0.90%
Dr Reddys Laboratories Ltd.,Equity,0.90%
Hindustan Petroleum Corporation Ltd.,Equity,0.89%
ABB India Ltd.,Equity,0.82%
Max Financial Services Ltd.,Equity,0.82%
Ultratech Cement Ltd.,Equity,0.82%
Tata Motors - DVR - A - ORDY,Equity,0.79%
Bharat Electronics Ltd.,Equity,0.64%
TVS Motor Company Ltd.,Equity,0.63%
Mankind Pharma Ltd.,Equity,0.61%
Ltimindtree Ltd.,Equity,0.60%
Zomato Ltd.,Equity,0.58%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.57%
Max Healthcare Institute Ltd.,Equity,0.56%
Power Grid Corporation Of India Ltd.,Equity,0.53%
Power Finance Corporation Ltd.,Equity,0.53%
Glenmark Pharmaceuticals Ltd.,Equity,0.51%
Varun Beverages Ltd.,Equity,0.50%
Tech Mahindra Ltd.,Equity,0.47%
Tata Consultancy Services Ltd.,Equity,0.44%
Bajaj Auto Ltd.,Equity,0.42%
Ethos Ltd.,Equity,0.41%
SBI Life Insurance Company Ltd.,Equity,0.40%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,0.39%
Spandana Sphoorty Financial Ltd.,Equity,0.38%
Polycab India Ltd.,Equity,0.38%
Titan Company Ltd.,Equity,0.37%
Sonata Software Ltd.,Equity,0.37%
REC Ltd.,Equity,0.37%
Oberoi Realty Ltd.,Equity,0.36%
Jio Financial Services Ltd.,Equity,0.36%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.36%
The Phoenix Mills Ltd.,Equity,0.34%
Sona Blw Precision Forgings Ltd.,Equity,0.33%
Central Depository Services (India) Ltd.,Equity,0.33%
Escorts Kubota Ltd.,Equity,0.31%
Gabriel India Ltd.,Equity,0.31%
KFIN Technologies Ltd.,Equity,0.30%
Gokaldas Exports Ltd.,Equity,0.30%
CG Power & Industrial Solutions Ltd.,Equity,0.29%
PB Fintech Ltd.,Equity,0.29%
Bajaj Finance Ltd.,Equity,0.27%
Electronics Mart India Ltd.,Equity,0.26%
Treasury Bill (182D),Others,0.15%
Glenmark Pharmaceuticals Ltd.,Equity,-0.51%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,-0.57%
ABB India Ltd.,Equity,-0.58%
Max Financial Services Ltd.,Equity,-0.82%
ICICI Bank Ltd.,Equity,-0.87%
Infosys Ltd.,Equity,-0.87%
Hindustan Petroleum Corporation Ltd.,Equity,-0.89%
Dr Reddys Laboratories Ltd.,Equity,-0.90%
Havells India Ltd.,Equity,-0.91%
Bajaj Finserv Ltd.,Equity,-0.91%
Reliance Industries Ltd.,Equity,-0.91%
Oil & Natural Gas Corporation Ltd.,Equity,-0.92%
Hindustan Unilever Ltd.,Equity,-0.93%
Maruti Suzuki India Ltd.,Equity,-0.94%
United Spirits Ltd.,Equity,-0.98%
Granules India Ltd.,Equity,-1.01%
Jindal Steel & Power Ltd.,Equity,-1.09%
ITC Ltd.,Equity,-1.23%
National Thermal Power Corporation Ltd.,Equity,-1.24%
Interglobe Aviation Ltd.,Equity,-1.26%
Hindalco Industries Ltd.,Equity,-1.29%
Tata Power Company Ltd.,Equity,-1.30%
Zee Entertainment Enterprises Ltd.,Equity,-1.37%
DLF Ltd.,Equity,-1.49%
Coal India Ltd.,Equity,-1.58%
Grasim Industries Ltd.,Equity,-1.60%
HDFC Bank Ltd.,Equity,-1.79%
Sun Pharmaceuticals Ind Ltd.,Equity,-1.83%
Kotak Mahindra Bank Ltd.,Equity,-2.03%
