Company Name,Asset Type,Percentage Allocation
8.6 Bihar SDL Mar  9 2026,Debt,36.23%
6.24 Rajasthan SDL Jun 30 2026,Debt,17.25%
8.05 Gujarat SDL Jun 15 2026,Debt,16.17%
7.96 Maharashtra SDL  Jun 29 2026,Debt,8.97%
8.33 GOI Jul  9 2026,Debt,7.34%
Net Receivables/(Payable),Others,2.26%
8.27 Karnataka Sdl Jan 13 2026,Debt,1.80%
8.06 Uttarkhand SDL Jun 15 2026,Debt,1.80%
6.05 Rajasthan SDL Jun 16 2026,Debt,1.72%
7.27 GOI Apr  8 2026,Debt,1.37%
CBLO(CCIL),Others,1.30%
8.43 Assam SDL Jan 27 2026,Debt,1.08%
8.69 Tamil Nadu SDL Feb 24 2026,Debt,0.83%
8.09 Andhra Pradesh SDL Jun 15 2026,Debt,0.36%
8.08 Uttar Pradesh SDL Jun 15 2026,Debt,0.32%
8.82 Bihar SDL Feb 24 2026,Debt,0.31%
8.19 Chhattisgarh SDL Nov 26 2025,Debt,0.28%
8.47 Maharashtra SDL  Feb 10 2026,Debt,0.27%
8.67 Karnataka Sdl Feb 24 2026,Debt,0.18%
8.82 Jharkhand SDL Feb 24 2026,Debt,0.07%
8.51 Maharashtra SDL  Mar  9 2026,Debt,0.07%
