Company Name,Asset Type,Percentage Allocation
8.38 Haryana SDL  Jan 27 2026,Debt,47.84%
8.02 Uttar Pradesh SDL May 25 2026,Debt,26.86%
8.54 Bihar SDL Feb 10 2026,Debt,9.25%
8.34 Uttar Pradesh SDL Jan 13 2026,Debt,3.24%
8.02 Telangana SDL May 25 2026,Debt,2.24%
8.83 Uttar Pradesh SDL Feb 24 2026,Debt,2.08%
6.18 Gujarat SDL Mar 31 2026,Debt,1.96%
8.53 Uttar Pradesh SDL Feb 10 2026,Debt,0.92%
8 Gujarat SDL Apr 20 2026,Debt,0.90%
8.51 Maharashtra SDL  Mar  9 2026,Debt,0.74%
8.27 Karnataka Sdl Jan 13 2026,Debt,0.65%
8.25 Maharashtra SDL  Jan 13 2026,Debt,0.58%
Net Receivables/(Payable),Others,0.50%
7.98 Gujarat SDL May 11 2026,Debt,0.48%
8.67 Maharashtra SDL  Feb 24 2026,Debt,0.46%
Triparty Repo,Others,0.42%
8.02 Telangana SDL May 11 2026,Debt,0.34%
8.67 Karnataka Sdl Feb 24 2026,Debt,0.23%
7.98 Tamil Nadu SDL May 25 2026,Debt,0.22%
8.01 Tamil Nadu SDL May 11 2026,Debt,0.09%
