Company Name,Asset Type,Percentage Allocation
8.01 Tamil Nadu SDL May 11 2026,Debt,15.80%
8 Rajasthan SDL May 25 2026,Debt,8.87%
6.18 Gujarat SDL Mar 31 2026,Debt,8.55%
8.02 Uttar Pradesh SDL May 25 2026,Debt,6.44%
8.02 Telangana SDL May 25 2026,Debt,4.44%
8.03 Uttar Pradesh SDL May 11 2026,Debt,4.44%
7.96 Maharashtra SDL  Jun 29 2026,Debt,4.44%
7.7 Tamil Nadu Uday Bond Feb 22 2026,Debt,4.39%
6.1 Rajasthan SDL May 25 2026,Debt,4.26%
GOI,Debt,4.07%
8.07 Rajasthan SDL Jun 15 2026,Debt,3.56%
GOI,Debt,2.62%
8.09 Andhra Pradesh SDL Jun 15 2026,Debt,2.47%
8.19 Rajasthan UDAY Bond Jun 23 2026,Debt,2.22%
8.21 Haryana UDAY Bond Mar 31 2026,Debt,2.22%
7.99 Uttar Pradesh SDL Jun 29 2026,Debt,2.22%
8.01 Tamil Nadu SDL Apr 20 2026,Debt,2.22%
8 Gujarat SDL Apr 20 2026,Debt,2.22%
6.29 Himachal Pradesh SDL Mar 11 2026,Debt,2.14%
Triparty Repo,Others,2.04%
GOI,Debt,1.87%
GOI,Debt,1.86%
GOI,Debt,1.84%
8.08 Uttar Pradesh SDL Jun 15 2026,Debt,1.33%
5.63 GOI Apr 12 2026,Debt,1.06%
Current Assets,Others,0.93%
8.07 Kerala SDL  Jun 15 2026,Debt,0.89%
8.09 Andhra Pradesh SDL Mar 23 2026,Debt,0.37%
8.21 Uttar Pradesh UDAY Bond Mar 29 2026,Debt,0.11%
7.27 GOI Apr  8 2026,Debt,0.11%
