Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.38%
ICICI Bank Ltd.,Equity,6.96%
Infosys Ltd.,Equity,5.07%
HCL Technologies Ltd.,Equity,4.39%
Sun Pharmaceuticals Ind Ltd.,Equity,4.24%
Bharti Airtel Ltd.,Equity,3.68%
Reliance Industries Ltd.,Equity,3.44%
Apollo Hospitals Enterprise Ltd.,Equity,3.24%
Radico Khaitan Ltd.,Equity,2.57%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.47%
Glenmark Pharmaceuticals Ltd.,Equity,2.30%
Axis Bank Ltd.,Equity,2.28%
Bajaj Finance Ltd.,Equity,2.27%
Bharat Forge Ltd.,Equity,2.27%
United Spirits Ltd.,Equity,2.26%
State Bank Of India,Equity,1.99%
Bharat Electronics Ltd.,Equity,1.77%
Century Textiles & Industries Ltd.,Equity,1.69%
Tata Consumer Products Ltd.,Equity,1.69%
Tata Steel Ltd.,Equity,1.59%
CBLO(CCIL),Others,1.55%
Exide Industries Ltd.,Equity,1.52%
Titan Company Ltd.,Equity,1.41%
Atul Ltd.,Equity,1.39%
Mahindra & Mahindra Ltd.,Equity,1.35%
Hindalco Industries Ltd.,Equity,1.22%
Kotak Mahindra Bank Ltd.,Equity,1.18%
Aarti Industries Ltd.,Equity,1.18%
Dalmia Bharat Ltd.,Equity,1.12%
DLF Ltd.,Equity,1.09%
ICICI Lombard General Insurance Company Ltd.,Equity,1.09%
Larsen & Toubro Ltd.,Equity,1.08%
Indusind Bank Ltd.,Equity,1.05%
Coforge Ltd.,Equity,1.04%
SBI Life Insurance Company Ltd.,Equity,1.03%
Mphasis Ltd.,Equity,1.01%
Ltimindtree Ltd.,Equity,0.97%
Maruti Suzuki India Ltd.,Equity,0.93%
Strides Pharma Science Ltd.,Equity,0.92%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.80%
Nippon India Mutual Fund (CPSE ETF),Equity,0.79%
Zee Entertainment Enterprises Ltd.,Equity,0.67%
Voltas Ltd.,Equity,0.66%
Whirlpool of India Ltd.,Equity,0.62%
NMDC Ltd.,Equity,0.60%
Interglobe Aviation Ltd.,Equity,0.58%
Fortis Healthcare Ltd.,Equity,0.56%
Bajaj Finserv Ltd.,Equity,0.54%
Gujarat Fluorochemicals Ltd.,Equity,0.54%
Ambuja Cements Ltd.,Equity,0.52%
The Phoenix Mills Ltd.,Equity,0.52%
Havells India Ltd.,Equity,0.48%
CESC Ltd.,Equity,0.45%
Max Financial Services Ltd.,Equity,0.45%
GMM Pfaudler Ltd.,Equity,0.44%
Metropolis Healthcare Ltd.,Equity,0.44%
V-Guard Industries Ltd.,Equity,0.41%
IDFC Ltd.,Equity,0.40%
Zomato Ltd.,Equity,0.36%
Vedant Fashions Pvt. Ltd.,Equity,0.33%
Cummins India Ltd.,Equity,0.30%
Bharti Airtel Ltd.,Equity,0.29%
Dish TV India Ltd.,Equity,0.28%
One 97 Communications Ltd.,Equity,0.24%
Net Receivables/(Payable),Others,0.23%
Aarti Pharmalabs Ltd,Equity,0.23%
Jio Financial Services Ltd.,Equity,0.21%
Hindustan Unilever Ltd.,Equity,0.21%
Other Margin,Debt,0.19%
Castrol India Ltd.,Equity,0.19%
Aditya Birla Fashion & Retail Ltd.,Equity,0.18%
NMDC Steel Ltd,Equity,0.16%
Jubilant Foodworks Ltd.,Equity,0.15%
PB Fintech Ltd.,Equity,0.11%
Solara Active Pharma Sciences Ltd.,Equity,0.08%
Aditya Birla Capital Ltd.,Equity,0.06%
AIA Engineering Ltd.,Equity,0.02%
Cash,Others,0.00%
