Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.65%
ICICI Bank Ltd.,Equity,7.92%
Bajaj Finance Ltd.,Equity,7.54%
Avenue Supermarts Ltd.,Equity,5.32%
Infosys Ltd.,Equity,4.01%
Tata Consultancy Services Ltd.,Equity,3.81%
Tata Motors Ltd.,Equity,3.04%
Larsen & Toubro Ltd.,Equity,2.91%
Ultratech Cement Ltd.,Equity,2.91%
Mahindra & Mahindra Ltd.,Equity,2.84%
Brigade Enterprises Ltd.,Equity,2.83%
Bharat Electronics Ltd.,Equity,2.48%
Bharti Airtel Ltd.,Equity,2.20%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.18%
Trent Ltd.,Equity,2.14%
CBLO(CCIL),Others,2.12%
Nestle India Ltd.,Equity,2.09%
Krishna Institute of Medical Sciences Ltd.,Equity,2.08%
Narayana Hrudayalaya Ltd.,Equity,2.06%
Sona Blw Precision Forgings Ltd.,Equity,1.97%
Titan Company Ltd.,Equity,1.92%
Interglobe Aviation Ltd.,Equity,1.50%
Fine Organic Industries Ltd.,Equity,1.31%
Ltimindtree Ltd.,Equity,1.29%
Zomato Ltd.,Equity,1.29%
Info Edge (India) Ltd.,Equity,1.23%
PI Industries Ltd.,Equity,1.18%
Bajaj Finserv Ltd.,Equity,1.10%
Sun Pharmaceuticals Ind Ltd.,Equity,1.10%
Pidilite Industries Ltd.,Equity,1.08%
Rainbow Childrens Medicare Ltd.,Equity,1.07%
Torrent Power Ltd.,Equity,0.97%
The Indian Hotels Company Ltd.,Equity,0.97%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.97%
Galaxy Surfactants Ltd.,Equity,0.92%
Sansera Engineering Ltd.,Equity,0.87%
Tata Power Company Ltd.,Equity,0.85%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.81%
Fortis Healthcare Ltd.,Equity,0.70%
Mankind Pharma Ltd.,Equity,0.70%
Global Health Ltd.,Equity,0.69%
Clean Science & Technology Ltd.,Equity,0.61%
Kaynes Technology India Pvt. Ltd.,Equity,0.56%
L&T Finance Holding Ltd.,Equity,0.53%
Prestige Estates Projects Ltd.,Equity,0.53%
Apar Industries Ltd.,Equity,0.51%
Varun Beverages Ltd.,Equity,0.50%
Jio Financial Services Ltd.,Equity,0.49%
J. K. Cement Ltd.,Equity,0.39%
Carborundum Universal Ltd.,Equity,0.39%
TVS Motor Company Ltd.,Equity,0.35%
Rolex Rings Ltd.,Equity,0.32%
Craftsman Automation Ltd.,Equity,0.30%
Neogen Chemicals Ltd.,Equity,0.27%
RHI Magnesita India Ltd.,Equity,0.27%
Go Fashion (India) Ltd.,Equity,0.23%
Suryoday Small Finance Bank Ltd.,Equity,0.21%
Indian Bank,Equity,0.14%
Aether Industries Ltd.,Equity,0.01%
Net Receivables/(Payable),Others,-0.24%
