Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,6.21%
Reliance Industries Ltd.,Equity,5.44%
Kotak Mahindra Bank Ltd.,Equity,3.99%
Sanofi India Ltd.,Equity,3.29%
Nestle India Ltd.,Equity,3.20%
Eicher Motors Ltd.,Equity,3.04%
Bajaj Finance Ltd.,Equity,3.03%
Multi Commodity Exchange of India Ltd.,Equity,2.86%
Infosys Ltd.,Equity,2.50%
Avenue Supermarts Ltd.,Equity,2.42%
Axis Bank Ltd.,Equity,2.28%
REC Ltd.,Equity,2.18%
Bharat Electronics Ltd.,Equity,2.15%
CBLO(CCIL),Others,2.14%
Hindustan Unilever Ltd.,Equity,2.01%
UNO Minda Ltd.,Equity,1.88%
CreditAccess Grameen Ltd.,Equity,1.79%
Mahindra & Mahindra Ltd.,Equity,1.78%
Bharat Heavy Electricals Ltd.,Equity,1.76%
SBI Life Insurance Company Ltd.,Equity,1.75%
Bharti Airtel Ltd.,Equity,1.74%
Net Receivables/(Payable),Others,1.66%
Havells India Ltd.,Equity,1.65%
Hitachi Energy India Ltd.,Equity,1.65%
Fsn ECommerce Ventures Ltd.,Equity,1.57%
GE T&D India Ltd.,Equity,1.56%
Bajaj Auto Ltd.,Equity,1.53%
TVS Motor Company Ltd.,Equity,1.53%
Zomato Ltd.,Equity,1.46%
Honeywell Automation India Ltd.,Equity,1.44%
ABB India Ltd.,Equity,1.32%
Tata Motors Ltd.,Equity,1.31%
Grindwell Norton Ltd.,Equity,1.23%
Trent Ltd.,Equity,1.22%
Global Health Ltd.,Equity,1.20%
Computer Age Management Services Ltd.,Equity,1.12%
Cera Sanitaryware Ltd.,Equity,1.08%
Dixon Technologies (India) Ltd.,Equity,1.05%
BSE Ltd.,Equity,1.05%
Indiamart Intermesh Ltd.,Equity,1.02%
Prataap Snacks Ltd.,Equity,0.97%
Syrma SGS Technology Ltd.,Equity,0.97%
Genus Power Infrastructures Ltd.,Equity,0.95%
Siemens Ltd.,Equity,0.93%
Devyani International Ltd.,Equity,0.91%
Gillette India Ltd.,Equity,0.88%
Syngene International Ltd.,Equity,0.86%
Indusind Bank Ltd.,Equity,0.77%
HDFC Asset Management Company Ltd.,Equity,0.76%
Kajaria Ceramics Ltd.,Equity,0.75%
Thomas Cook (India) Ltd.,Equity,0.74%
Go Fashion (India) Ltd.,Equity,0.73%
The Jammu & Kashmir Bank Ltd.,Equity,0.73%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.69%
Jubilant Foodworks Ltd.,Equity,0.68%
Safari Industries (India) Ltd.,Equity,0.67%
One 97 Communications Ltd.,Equity,0.65%
Nazara Technologies Ltd.,Equity,0.62%
AIA Engineering Ltd.,Equity,0.55%
Suzlon Energy Ltd.,Equity,0.50%
Piramal Pharma Ltd.,Equity,0.49%
Sona Blw Precision Forgings Ltd.,Equity,0.40%
Info Edge (India) Ltd.,Equity,0.30%
Solar Industries India Ltd.,Equity,0.29%
Kotak Mahindra Investments Ltd. (291D),Others,0.12%
