Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,6.93%
HDFC Bank Ltd.,Equity,5.42%
State Bank Of India,Equity,4.48%
Nippon India Mutual Fund (Nippon India ETF Nifty PSU Bank BeES),Equity,4.34%
Power Finance Corporation Ltd.,Equity,3.46%
National Thermal Power Corporation Ltd.,Equity,3.38%
Hindustan Aeronautics Ltd.,Equity,3.26%
Reliance Industries Ltd.,Equity,3.24%
Bank Of Baroda,Equity,3.15%
Sun Pharmaceuticals Ind Ltd.,Equity,2.71%
REC Ltd.,Equity,2.63%
Larsen & Toubro Ltd.,Equity,2.40%
BSE Ltd.,Equity,1.99%
Rail Vikas Nigam Ltd.,Equity,1.95%
Union Bank Of India,Equity,1.85%
Ajanta Pharma Ltd.,Equity,1.68%
Lemon Tree Hotels Ltd.,Equity,1.66%
ICICI Bank Ltd.,Equity,1.61%
Tata Steel Ltd.,Equity,1.45%
Oil India Ltd.,Equity,1.40%
Infosys Ltd.,Equity,1.38%
Central Depository Services (India) Ltd.,Equity,1.37%
UNO Minda Ltd.,Equity,1.35%
Ultratech Cement Ltd.,Equity,1.22%
Titan Company Ltd.,Equity,1.21%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.17%
Tata Motors Ltd.,Equity,1.16%
Rategain Travel Technologies Ltd.,Equity,1.15%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.14%
Jamna Auto Industries Ltd.,Equity,1.11%
Cyient Ltd.,Equity,1.11%
R R Kabel Ltd.,Equity,1.05%
Siemens Ltd.,Equity,1.04%
KPIT Technologies Ltd.,Equity,1.03%
ABB India Ltd.,Equity,1.00%
Indraprastha Gas Ltd.,Equity,0.97%
City Union Bank Ltd.,Equity,0.97%
Kotak Mahindra Bank Ltd.,Equity,0.96%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,0.94%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.91%
Torrent Power Ltd.,Equity,0.90%
Brigade Enterprises Ltd.,Equity,0.90%
Maruti Suzuki India Ltd.,Equity,0.89%
Prudent Corporate Advisory Services Ltd.,Equity,0.88%
Balrampur Chini Mills Ltd.,Equity,0.85%
Radico Khaitan Ltd.,Equity,0.83%
Jio Financial Services Ltd.,Equity,0.83%
Elecon Engineering Company Ltd.,Equity,0.83%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.82%
Ingersoll-Rand  Ltd.,Equity,0.81%
Coforge Ltd.,Equity,0.79%
HCL Technologies Ltd.,Equity,0.76%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.75%
Triveni Engineering & Industries Ltd.,Equity,0.72%
Indian Bank,Equity,0.67%
Steel Authority Of India Ltd.,Equity,0.64%
SKF India Ltd.,Equity,0.62%
Sobha Ltd.,Equity,0.62%
HEG Ltd.,Equity,0.61%
APL Apollo Tubes Ltd.,Equity,0.55%
Swan Energy Ltd.,Equity,0.55%
Mankind Pharma Ltd.,Equity,0.53%
Bayer Cropscience Ltd.,Equity,0.50%
Sumitomo Chemical India Ltd.,Equity,0.48%
E.I.D. Parry India Ltd.,Equity,0.46%
JSW Steel Ltd.,Equity,0.43%
PI Industries Ltd.,Equity,0.31%
Net Receivables/(Payable),Others,0.24%
Treasury Bill (364D),Others,0.02%
