Company Name,Asset Type,Percentage Allocation
Larsen & Toubro Ltd.,Equity,5.04%
HDFC Bank Ltd.,Equity,4.39%
ICICI Bank Ltd.,Equity,4.14%
Indusind Bank Ltd.,Equity,3.48%
Coforge Ltd.,Equity,3.35%
Dalmia Bharat Ltd.,Equity,3.33%
National Thermal Power Corporation Ltd.,Equity,3.20%
Zomato Ltd.,Equity,3.13%
Reliance Industries Ltd.,Equity,3.07%
Tata Consultancy Services Ltd.,Equity,2.64%
Axis Bank Ltd.,Equity,2.62%
Kaynes Technology India Pvt. Ltd.,Equity,2.57%
Ratnamani Metals & Tubes Ltd.,Equity,2.39%
HCL Technologies Ltd.,Equity,2.32%
Tata Motors Ltd.,Equity,2.31%
Triparty Repo,Others,2.25%
Bharti Airtel Ltd.,Equity,2.25%
The Federal Bank Ltd.,Equity,2.16%
Hitachi Energy India Ltd.,Equity,2.08%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.99%
Craftsman Automation Ltd.,Equity,1.97%
Radico Khaitan Ltd.,Equity,1.90%
Linde India Ltd.,Equity,1.90%
Titan Company Ltd.,Equity,1.89%
Jindal Stainless Ltd.,Equity,1.81%
The Phoenix Mills Ltd.,Equity,1.78%
Mahindra Lifespace Developers Ltd.,Equity,1.75%
Home First Finance Company India Ltd.,Equity,1.69%
PNB Housing Finance Ltd.,Equity,1.54%
GMR Airports Infrastructure Ltd.,Equity,1.43%
Bosch Ltd.,Equity,1.41%
Power Finance Corporation Ltd.,Equity,1.36%
Alkem Laboratories Ltd.,Equity,1.34%
RBL Bank Ltd.,Equity,1.33%
Nestle India Ltd.,Equity,1.26%
PB Fintech Ltd.,Equity,1.26%
Mahindra & Mahindra Ltd.,Equity,1.23%
NLC India Ltd.,Equity,1.20%
Treasury Bill (364D),Others,1.18%
City Union Bank Ltd.,Equity,1.18%
Ajanta Pharma Ltd.,Equity,1.15%
Mrs Bectors Food Specialities Ltd.,Equity,1.11%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.10%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,1.06%
Sun Pharmaceuticals Ind Ltd.,Equity,1.05%
Affle (India) Ltd.,Equity,1.03%
Punjab National Bank,Equity,0.98%
Oil India Ltd.,Equity,0.88%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.88%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.85%
Honeywell Automation India Ltd.,Equity,0.58%
Ltimindtree Ltd.,Equity,0.50%
Bajel Projects Limited (BPL),Equity,0.15%
Net Receivables/(Payable),Others,-0.43%
