Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.69%
Larsen & Toubro Ltd.,Equity,5.67%
ICICI Bank Ltd.,Equity,5.40%
Reliance Industries Ltd.,Equity,3.84%
Ultratech Cement Ltd.,Equity,2.68%
Bajaj Auto Ltd.,Equity,2.58%
Coforge Ltd.,Equity,2.36%
Coal India Ltd.,Equity,2.26%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.26%
Bharat Electronics Ltd.,Equity,2.25%
State Bank Of India,Equity,2.20%
Persistent Systems Ltd.,Equity,2.18%
Axis Bank Ltd.,Equity,2.15%
Ltimindtree Ltd.,Equity,2.04%
National Thermal Power Corporation Ltd.,Equity,1.95%
ABB India Ltd.,Equity,1.90%
ITC Ltd.,Equity,1.89%
Tata Consultancy Services Ltd.,Equity,1.83%
Sun Pharmaceuticals Ind Ltd.,Equity,1.80%
Trent Ltd.,Equity,1.72%
Tata Motors Ltd.,Equity,1.66%
Cummins India Ltd.,Equity,1.65%
Bajaj Finance Ltd.,Equity,1.56%
KEI Industries Ltd.,Equity,1.56%
HCL Technologies Ltd.,Equity,1.54%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.51%
Godrej Properties Ltd.,Equity,1.46%
Infosys Ltd.,Equity,1.44%
Indusind Bank Ltd.,Equity,1.39%
JSW Energy Ltd.,Equity,1.39%
TVS Motor Company Ltd.,Equity,1.35%
Dixon Technologies (India) Ltd.,Equity,1.32%
Bharat Dynamics Ltd.,Equity,1.31%
Titan Company Ltd.,Equity,1.28%
The Federal Bank Ltd.,Equity,1.22%
Sundaram Finance Ltd.,Equity,1.20%
Power Finance Corporation Ltd.,Equity,1.20%
Zomato Ltd.,Equity,1.19%
Kajaria Ceramics Ltd.,Equity,1.14%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.14%
Bikaji Foods International Ltd.,Equity,1.13%
CBLO(CCIL),Others,1.09%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.01%
Hindalco Industries Ltd.,Equity,0.98%
Nestle India Ltd.,Equity,0.98%
Amber Enterprises India Ltd.,Equity,0.91%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.88%
Hindustan Unilever Ltd.,Equity,0.76%
Karur Vysya Bank Ltd.,Equity,0.72%
Tech Mahindra Ltd.,Equity,0.59%
Power Mech Projects Ltd.,Equity,0.57%
Endurance Technologies Ltd.,Equity,0.56%
Indian Bank,Equity,0.55%
Mazagon Dock Shipbuilders Ltd.,Equity,0.54%
Jindal Steel & Power Ltd.,Equity,0.51%
Bharti Airtel Ltd.,Equity,0.50%
Voltas Ltd.,Equity,0.50%
Eicher Motors Ltd.,Equity,0.49%
Spandana Sphoorty Financial Ltd.,Equity,0.49%
Cipla Ltd.,Equity,0.49%
Mahindra & Mahindra Ltd.,Equity,0.45%
Syngene International Ltd.,Equity,0.39%
Dr Reddys Laboratories Ltd.,Equity,0.38%
APL Apollo Tubes Ltd.,Equity,0.24%
NMDC Ltd.,Equity,0.20%
Maruti Suzuki India Ltd.,Equity,0.15%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.12%
Accrued Interest,Others,0.00%
Net Receivables/(Payable),Others,-0.31%
