Company Name,Asset Type,Percentage Allocation
TVS Motor Company Ltd.,Equity,9.68%
Maruti Suzuki India Ltd.,Equity,8.22%
ICICI Bank Ltd.,Equity,7.16%
HDFC Bank Ltd.,Equity,5.73%
Avenue Supermarts Ltd.,Equity,5.40%
Reliance Industries Ltd.,Equity,4.68%
Infosys Ltd.,Equity,4.05%
Bharti Airtel Ltd.,Equity,4.04%
Larsen & Toubro Ltd.,Equity,3.83%
Triparty Repo,Others,2.92%
Zomato Ltd.,Equity,2.63%
Ethos Ltd.,Equity,2.34%
Sun Pharmaceuticals Ind Ltd.,Equity,2.02%
State Bank Of India,Equity,2.02%
Britannia Industries Ltd.,Equity,1.81%
Trent Ltd.,Equity,1.59%
RED TAPE Ltd.,Equity,1.49%
Siemens Ltd.,Equity,1.46%
HCL Technologies Ltd.,Equity,1.46%
SBI Life Insurance Company Ltd.,Equity,1.42%
Motherson Sumi Wiring India Ltd.,Equity,1.41%
Axis Bank Ltd.,Equity,1.34%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.31%
R R Kabel Ltd.,Equity,1.30%
Bharat Forge Ltd.,Equity,1.23%
Muthoot Finance Ltd.,Equity,1.19%
PI Industries Ltd.,Equity,1.18%
Ultratech Cement Ltd.,Equity,1.17%
Bajaj Electricals Ltd.,Equity,1.16%
The Phoenix Mills Ltd.,Equity,1.00%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.94%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.88%
Syngene International Ltd.,Equity,0.87%
Fsn ECommerce Ventures Ltd.,Equity,0.85%
SAI Silks (Kalamandir) Ltd.,Equity,0.78%
Rolex Rings Ltd.,Equity,0.78%
TVS Holdings Ltd.,Equity,0.74%
ICICI Lombard General Insurance Company Ltd.,Equity,0.64%
Nazara Technologies Ltd.,Equity,0.61%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,0.56%
Alkem Laboratories Ltd.,Equity,0.52%
Interglobe Aviation Ltd.,Equity,0.52%
Navin Fluorine International Ltd.,Equity,0.50%
Tech Mahindra Ltd.,Equity,0.50%
Kaynes Technology India Pvt. Ltd.,Equity,0.50%
Max Financial Services Ltd.,Equity,0.49%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.46%
JSW Steel Ltd.,Equity,0.44%
G R Infraprojects Ltd.,Equity,0.43%
Greenpanel Industries Ltd.,Equity,0.43%
Treasury Bill (91D),Others,0.37%
PNC Infratech Ltd.,Equity,0.35%
Azad Engineering Ltd.,Equity,0.35%
Century Plyboards Ltd.,Equity,0.26%
Sundaram Clayton Dcd Ltd,Equity,0.17%
Bajel Projects Limited (BPL),Equity,0.16%
Coforge Ltd.,Equity,0.14%
TVS Holdings Ltd.,Equity,0.12%
Orient Electric Ltd.,Equity,0.11%
Atul Ltd.,Equity,0.06%
Cash Margin,Debt,0.04%
IKIO Lighting Ltd.,Equity,0.03%
Sundaram Clayton Dcd Ltd,Equity,0.00%
Current Assets,Others,-0.81%
