Company Name,Asset Type,Percentage Allocation
Bank Of Baroda,Equity,6.62%
State Bank Of India,Equity,5.79%
Triparty Repo,Others,4.85%
ICICI Bank Ltd.,Equity,3.82%
HDFC Bank Ltd.,Equity,3.67%
Larsen & Toubro Ltd.,Equity,3.60%
National Thermal Power Corporation Ltd.,Equity,3.38%
HEG Ltd.,Equity,2.77%
Infosys Ltd.,Equity,2.73%
Ultratech Cement Ltd.,Equity,2.72%
Hero Motocorp Ltd.,Equity,2.48%
REC Ltd.,Equity,2.33%
CESC Ltd.,Equity,2.22%
Tata Motors - DVR - A - ORDY,Equity,2.09%
DLF Ltd.,Equity,2.00%
Bharat Heavy Electricals Ltd.,Equity,1.81%
Tata Steel Ltd.,Equity,1.80%
Sun T V Network Ltd.,Equity,1.76%
Metropolis Healthcare Ltd.,Equity,1.69%
Interglobe Aviation Ltd.,Equity,1.68%
Birla Corporation Ltd.,Equity,1.66%
Steel Authority Of India Ltd.,Equity,1.55%
KPI Green Energy Ltd.,Equity,1.50%
Schaeffler India Ltd.,Equity,1.50%
Birlasoft Ltd.,Equity,1.49%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.43%
Gulf Oil Lubricants India Ltd.,Equity,1.42%
Varun Beverages Ltd.,Equity,1.40%
Coal India Ltd.,Equity,1.38%
Godrej Consumer Products Ltd.,Equity,1.35%
Sanofi India Ltd.,Equity,1.34%
Zomato Ltd.,Equity,1.31%
Kirloskar Oil Engines Ltd.,Equity,1.28%
Equitas Small Finance Bank Ltd.,Equity,1.26%
Global Health Ltd.,Equity,1.25%
ITC Ltd.,Equity,1.22%
TVS Motor Company Ltd.,Equity,1.21%
Jyothy Labs Ltd.,Equity,1.20%
K P R Mill Ltd.,Equity,1.16%
Spandana Sphoorty Financial Ltd.,Equity,1.14%
Thomas Cook (India) Ltd.,Equity,1.07%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.06%
Trent Ltd.,Equity,1.05%
Jubilant Foodworks Ltd.,Equity,1.00%
Ahluwalia Contracts Ltd.,Equity,0.99%
Hindustan Petroleum Corporation Ltd.,Equity,0.97%
Blue Star Ltd.,Equity,0.93%
GE T&D India Ltd.,Equity,0.91%
The Phoenix Mills Ltd.,Equity,0.88%
Thermax Ltd.,Equity,0.87%
Nuvoco Vistas Corporation Ltd.,Equity,0.87%
Suven Pharmaceuticals Ltd.,Equity,0.81%
SKF India Ltd.,Equity,0.72%
Natco Pharma Ltd.,Equity,0.49%
Arvind Ltd.,Equity,0.40%
Azad Engineering Ltd.,Equity,0.14%
Current Assets,Others,0.01%
