Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.42%
Triparty Repo,Others,7.24%
ICICI Bank Ltd.,Equity,5.65%
State Bank Of India,Equity,4.49%
Reliance Industries Ltd.,Equity,3.56%
Infosys Ltd.,Equity,3.45%
Larsen & Toubro Ltd.,Equity,3.36%
National Thermal Power Corporation Ltd.,Equity,2.75%
Axis Bank Ltd.,Equity,2.61%
HCL Technologies Ltd.,Equity,2.05%
Aurobindo Pharma Ltd.,Equity,2.02%
Bharti Airtel Ltd.,Equity,1.80%
ITC Ltd.,Equity,1.74%
Godrej Consumer Products Ltd.,Equity,1.57%
Jindal Steel & Power Ltd.,Equity,1.55%
Zomato Ltd.,Equity,1.49%
The Federal Bank Ltd.,Equity,1.45%
Havells India Ltd.,Equity,1.39%
J. K. Cement Ltd.,Equity,1.34%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.31%
Tata Consultancy Services Ltd.,Equity,1.24%
Fusion Micro Finance Ltd.,Equity,1.23%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.23%
Hindustan Unilever Ltd.,Equity,1.20%
Tata Motors Ltd.,Equity,1.19%
Bharat Electronics Ltd.,Equity,1.17%
Sun Pharmaceuticals Ind Ltd.,Equity,1.15%
Kotak Mahindra Bank Ltd.,Equity,1.14%
Syngene International Ltd.,Equity,1.11%
Canara Bank,Equity,1.08%
Indusind Bank Ltd.,Equity,1.07%
Delhivery Ltd.,Equity,1.06%
Ltimindtree Ltd.,Equity,1.00%
Schaeffler India Ltd.,Equity,1.00%
Gujarat State Petronet Ltd.,Equity,0.99%
Max Financial Services Ltd.,Equity,0.97%
Eicher Motors Ltd.,Equity,0.97%
TVS Motor Company Ltd.,Equity,0.95%
Mphasis Ltd.,Equity,0.92%
MTAR Technologies Ltd.,Equity,0.90%
Go Fashion (India) Ltd.,Equity,0.90%
Kajaria Ceramics Ltd.,Equity,0.88%
Interglobe Aviation Ltd.,Equity,0.87%
Coal India Ltd.,Equity,0.86%
Yatra Online Ltd.,Equity,0.86%
Dabur India Ltd.,Equity,0.86%
Bajaj Finserv Ltd.,Equity,0.85%
Sona Blw Precision Forgings Ltd.,Equity,0.85%
Hindalco Industries Ltd.,Equity,0.84%
Torrent Pharmaceuticals Ltd.,Equity,0.82%
Balkrishna Industries Ltd.,Equity,0.79%
Td Power Systems Ltd.,Equity,0.78%
Cummins India Ltd.,Equity,0.77%
Titan Company Ltd.,Equity,0.73%
Krishna Institute of Medical Sciences Ltd.,Equity,0.67%
Maruti Suzuki India Ltd.,Equity,0.66%
Ultratech Cement Ltd.,Equity,0.66%
Prince Pipes & Fittings Ltd.,Equity,0.65%
Tata Technologies Ltd.,Equity,0.63%
Sapphire Foods India Ltd.,Equity,0.59%
ICICI Lombard General Insurance Company Ltd.,Equity,0.57%
Electronics Mart India Ltd.,Equity,0.56%
Cholamandalam Financial Holdings Ltd.,Equity,0.54%
Vedant Fashions Pvt. Ltd.,Equity,0.50%
Neogen Chemicals Ltd.,Equity,0.49%
Paradeep Phosphates Ltd.,Equity,0.44%
Avalon Technologies Ltd,Equity,0.43%
IDEAForge Technology Ltd.,Equity,0.22%
Net Receivables/(Payable),Others,-0.04%
