Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.17%
Reliance Industries Ltd.,Equity,5.53%
Infosys Ltd.,Equity,5.04%
Sun Pharmaceuticals Ind Ltd.,Equity,4.32%
Triparty Repo,Others,3.90%
ICICI Bank Ltd.,Equity,3.86%
SBI Life Insurance Company Ltd.,Equity,3.47%
UNO Minda Ltd.,Equity,2.91%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,2.84%
Tata Consumer Products Ltd.,Equity,2.70%
State Bank Of India,Equity,2.57%
Indusind Bank Ltd.,Equity,2.52%
Axis Bank Ltd.,Equity,2.45%
MTAR Technologies Ltd.,Equity,2.41%
Radico Khaitan Ltd.,Equity,2.34%
Mahindra & Mahindra Ltd.,Equity,2.34%
Tata Consultancy Services Ltd.,Equity,2.22%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.15%
Tata Motors - DVR - A - ORDY,Equity,2.10%
Gabriel India Ltd.,Equity,2.06%
Wipro Ltd.,Equity,2.04%
The Federal Bank Ltd.,Equity,2.02%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,1.98%
The Indian Hotels Company Ltd.,Equity,1.86%
Apollo Hospitals Enterprise Ltd.,Equity,1.84%
HCL Technologies Ltd.,Equity,1.83%
Suprajit Engineering Ltd.,Equity,1.79%
Valiant Organics Ltd.,Equity,1.78%
IDEAForge Technology Ltd.,Equity,1.67%
Hero Motocorp Ltd.,Equity,1.67%
Ashok Leyland Ltd.,Equity,1.65%
J K Paper Ltd.,Equity,1.64%
Fusion Micro Finance Ltd.,Equity,1.58%
Bajaj Finance Ltd.,Equity,1.57%
Cipla Ltd.,Equity,1.51%
Titan Company Ltd.,Equity,1.41%
MM Forgings Ltd.,Equity,1.41%
Laurus Labs Ltd.,Equity,1.25%
Coal India Ltd.,Equity,1.21%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.16%
Britannia Industries Ltd.,Equity,0.97%
Bharti Airtel Ltd.,Equity,0.78%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.50%
Jio Financial Services Ltd.,Equity,0.46%
7.6 Muthoot Finance Ltd. Apr 20 2026,Debt,0.23%
Bharti Airtel Ltd.,Equity,0.14%
6 Housing Development Finance Corporation Ltd. (HDFC Ltd.) May 29 2026,Debt,0.12%
TCI Express Ltd.,Equity,0.04%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
