Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.48%
ICICI Bank Ltd.,Equity,4.77%
Infosys Ltd.,Equity,4.21%
Larsen & Toubro Ltd.,Equity,3.71%
Axis Bank Ltd.,Equity,3.71%
Reliance Industries Ltd.,Equity,3.55%
Electronics Mart India Ltd.,Equity,2.97%
Varun Beverages Ltd.,Equity,2.63%
Ultratech Cement Ltd.,Equity,2.39%
National Thermal Power Corporation Ltd.,Equity,2.33%
SBI Life Insurance Company Ltd.,Equity,2.08%
Triparty Repo,Others,2.02%
Power Finance Corporation Ltd.,Equity,1.91%
State Bank Of India,Equity,1.70%
Maruti Suzuki India Ltd.,Equity,1.68%
Hindustan Unilever Ltd.,Equity,1.60%
Mahindra & Mahindra Ltd.,Equity,1.58%
ITC Ltd.,Equity,1.56%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.49%
Finolex Cables Ltd.,Equity,1.42%
Devyani International Ltd.,Equity,1.34%
Tech Mahindra Ltd.,Equity,1.34%
Coal India Ltd.,Equity,1.31%
Zensar Technologies Ltd.,Equity,1.26%
Gland Pharma Ltd.,Equity,1.26%
Trent Ltd.,Equity,1.25%
CreditAccess Grameen Ltd.,Equity,1.20%
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),Equity,1.18%
Rategain Travel Technologies Ltd.,Equity,1.15%
Mankind Pharma Ltd.,Equity,1.09%
Bharat Forge Ltd.,Equity,1.08%
Godrej Consumer Products Ltd.,Equity,1.05%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.99%
Greenpanel Industries Ltd.,Equity,0.99%
Lupin Ltd.,Equity,0.98%
Bharat Heavy Electricals Ltd.,Equity,0.91%
Tata Motors Ltd.,Equity,0.89%
Jindal Steel & Power Ltd.,Equity,0.89%
Asian Paints Ltd.,Equity,0.86%
Delhivery Ltd.,Equity,0.85%
The Indian Hotels Company Ltd.,Equity,0.81%
Bajaj Finance Ltd.,Equity,0.81%
R R Kabel Ltd.,Equity,0.79%
Cholamandalam Financial Holdings Ltd.,Equity,0.78%
Apollo Tyres Ltd.,Equity,0.77%
Hindalco Industries Ltd.,Equity,0.75%
Bharti Airtel Ltd.,Equity,0.72%
Harsha Engineers International Ltd.,Equity,0.70%
Indusind Bank Ltd.,Equity,0.69%
Container Corporation Of India Ltd.,Equity,0.67%
Kirloskar Oil Engines Ltd.,Equity,0.66%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.65%
Hero Motocorp Ltd.,Equity,0.65%
Zee Entertainment Enterprises Ltd.,Equity,0.62%
One 97 Communications Ltd.,Equity,0.62%
KFIN Technologies Ltd.,Equity,0.62%
PVR INOX Ltd.,Equity,0.61%
India Shelter Finance Corporation Ltd.,Equity,0.60%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.59%
Welspun India Ltd.,Equity,0.59%
Medplus Health Services Ltd.,Equity,0.59%
Timken India Ltd.,Equity,0.56%
Vijaya Diagnostic Centre Ltd.,Equity,0.56%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.55%
Sapphire Foods India Ltd.,Equity,0.50%
Interglobe Aviation Ltd.,Equity,0.50%
CESC Ltd.,Equity,0.46%
Radico Khaitan Ltd.,Equity,0.46%
Bandhan Bank Ltd.,Equity,0.44%
Somany Ceramics Ltd.,Equity,0.44%
Nuvoco Vistas Corporation Ltd.,Equity,0.43%
MTAR Technologies Ltd.,Equity,0.42%
RHI Magnesita India Ltd.,Equity,0.42%
Equitas Small Finance Bank Ltd.,Equity,0.41%
Bank Of Baroda,Equity,0.39%
Siemens Ltd.,Equity,0.39%
Kaynes Technology India Pvt. Ltd.,Equity,0.38%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.35%
HDFC Asset Management Company Ltd.,Equity,0.33%
KNR Constructions Ltd.,Equity,0.30%
Aditya Birla Fashion & Retail Ltd.,Equity,0.29%
Rishabh Instruments Ltd.,Equity,0.27%
The Supreme Industries Ltd.,Equity,0.25%
IDEAForge Technology Ltd.,Equity,0.18%
Happy Forgings Ltd.,Equity,0.07%
Tatva Chintan Pharma Chem Ltd.,Equity,0.02%
Cash Margin,Debt,0.00%
Current Assets,Others,-0.30%
