Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,8.84%
HDFC Bank Ltd.,Equity,8.78%
Reliance Industries Ltd.,Equity,5.74%
Ltimindtree Ltd.,Equity,3.28%
Varun Beverages Ltd.,Equity,3.06%
Max Healthcare Institute Ltd.,Equity,2.81%
Bajaj Finance Ltd.,Equity,2.61%
Avenue Supermarts Ltd.,Equity,2.51%
Hindustan Unilever Ltd.,Equity,2.37%
Axis Bank Ltd.,Equity,2.22%
Triparty Repo,Others,2.20%
Coforge Ltd.,Equity,2.15%
PI Industries Ltd.,Equity,2.07%
Mankind Pharma Ltd.,Equity,2.05%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.02%
Tube Investments Of India Ltd.,Equity,1.97%
Indraprastha Gas Ltd.,Equity,1.96%
Dixon Technologies (India) Ltd.,Equity,1.95%
Kotak Mahindra Bank Ltd.,Equity,1.91%
Maruti Suzuki India Ltd.,Equity,1.78%
J. K. Cement Ltd.,Equity,1.75%
Sona Blw Precision Forgings Ltd.,Equity,1.68%
Bharat Electronics Ltd.,Equity,1.63%
National Thermal Power Corporation Ltd.,Equity,1.54%
Interglobe Aviation Ltd.,Equity,1.54%
Titan Company Ltd.,Equity,1.50%
UNO Minda Ltd.,Equity,1.48%
Infosys Ltd.,Equity,1.43%
Global Health Ltd.,Equity,1.35%
United Spirits Ltd.,Equity,1.28%
Page Industries Ltd.,Equity,1.27%
Persistent Systems Ltd.,Equity,1.21%
Vedant Fashions Pvt. Ltd.,Equity,1.16%
CreditAccess Grameen Ltd.,Equity,1.12%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.10%
SKF India Ltd.,Equity,1.05%
Divi Laboratories Ltd.,Equity,1.04%
ICICI Lombard General Insurance Company Ltd.,Equity,1.04%
SRF Ltd.,Equity,0.99%
Navin Fluorine International Ltd.,Equity,0.97%
Syngene International Ltd.,Equity,0.94%
Zomato Ltd.,Equity,0.81%
TVS Motor Company Ltd.,Equity,0.80%
Motherson Sumi Wiring India Ltd.,Equity,0.76%
Krishna Institute of Medical Sciences Ltd.,Equity,0.76%
Indiamart Intermesh Ltd.,Equity,0.74%
Blue Star Ltd.,Equity,0.74%
Triveni Turbine Ltd.,Equity,0.73%
Multi Commodity Exchange of India Ltd.,Equity,0.73%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.71%
Info Edge (India) Ltd.,Equity,0.59%
ABB India Ltd.,Equity,0.52%
Central Depository Services (India) Ltd.,Equity,0.52%
Devyani International Ltd.,Equity,0.50%
Happiest Minds Technologies Ltd.,Equity,0.46%
Havells India Ltd.,Equity,0.45%
Metro Brands Ltd.,Equity,0.37%
KEC International Ltd.,Equity,0.31%
Cello World Ltd.,Equity,0.26%
Treasury Bill (364D),Others,0.18%
L&T Technology Services Ltd.,Equity,0.04%
Sumitomo Chemical India Ltd.,Equity,0.02%
Net Receivables/(Payable),Others,-0.36%
