Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,13.38%
Derivative,Others,11.82%
HDFC Bank Ltd.,Equity,8.10%
Bajaj Holdings & Investment Ltd.,Equity,6.71%
ITC Ltd.,Equity,5.39%
HCL Technologies Ltd.,Equity,5.27%
Power Grid Corporation Of India Ltd.,Equity,5.22%
Coal India Ltd.,Equity,5.01%
Axis Bank Ltd.,Equity,5.01%
Maruti Suzuki India Ltd.,Equity,4.96%
ICICI Bank Ltd.,Equity,4.94%
Microsoft Corporation,Equity,4.41%
Alphabet Inc,Equity,4.18%
Facebook,Equity,3.35%
Amazon Com Stk,Equity,3.31%
NMDC Ltd.,Equity,2.11%
Balkrishna Industries Ltd.,Equity,2.07%
Motilal Oswal Financial Services Ltd.,Equity,1.82%
Central Depository Services (India) Ltd.,Equity,1.68%
Multi Commodity Exchange of India Ltd.,Equity,1.53%
Indian Energy Exchange Ltd.,Equity,1.43%
Infosys Ltd.,Equity,1.39%
Kotak Mahindra Bank Ltd.,Equity,1.11%
Zydus Lifesciences Ltd.,Equity,1.03%
Dr Reddys Laboratories Ltd.,Equity,1.01%
Cipla Ltd.,Equity,1.00%
IPCA Laboratories Ltd.,Equity,0.76%
UTI Asset Management Company Ltd.,Equity,0.60%
Bajaj Finance Ltd.,Equity,0.51%
ICRA Ltd.,Equity,0.46%
Oracle Financial Services Software Ltd.,Equity,0.43%
NMDC Steel Ltd,Equity,0.27%
Indusind Bank Ltd.,Equity,0.14%
Indraprastha Gas Ltd.,Equity,0.13%
Maharashtra Scooters Ltd.,Equity,0.11%
Hindustan Unilever Ltd.,Equity,0.10%
Axis Bank Ltd. (365D),Debt,0.10%
Tech Mahindra Ltd.,Equity,0.08%
Tata Motors Ltd.,Equity,0.07%
Bank Of Baroda,Equity,0.06%
Axis Bank Ltd. (364D),Debt,0.05%
Axis Bank Ltd. (364D),Debt,0.05%
Axis Bank Ltd. (364D),Debt,0.05%
Axis Bank Ltd. (365D),Debt,0.05%
Axis Bank Ltd. (365D),Debt,0.05%
HDFC Bank Ltd. (364D),Others,0.05%
State Bank Of India,Others,0.05%
Axis Bank Ltd.,Others,0.05%
Kotak Mahindra Bank Ltd.,Others,0.05%
ICICI Bank Ltd.,Others,0.05%
National Bank For Agriculture & Rural Development (Nabard),Others,0.05%
Tata Consultancy Services Ltd.,Equity,0.04%
Bandhan Bank Ltd.,Equity,0.03%
Biocon Ltd.,Equity,0.03%
Reliance Industries Ltd.,Equity,0.02%
Axis Bank Ltd. (364D),Debt,0.01%
Axis Bank Ltd. (364D),Debt,0.01%
Axis Bank Ltd. (364D),Debt,0.01%
Axis Bank Ltd. (364D),Debt,0.01%
Axis Bank Ltd. (366D),Debt,0.01%
Axis Bank Ltd. (366D),Debt,0.01%
Axis Bank Ltd. (366D),Debt,0.01%
Axis Bank Ltd. (366D),Debt,0.01%
Axis Bank Ltd. (366D),Debt,0.01%
Axis Bank Ltd. (366D),Debt,0.01%
Axis Bank Ltd. (368D),Debt,0.01%
Axis Bank Ltd. (368D),Debt,0.01%
Axis Bank Ltd. (369D),Debt,0.01%
Treasury Bill (364D),Others,0.01%
HDFC Life Insurance Company Ltd.,Equity,0.00%
Canara Bank,Equity,0.00%
Accelya Solutions India Ltd.,Equity,0.00%
United Spirits Ltd.,Equity,0.00%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.00%
HDFC Bank Ltd. (368D),Debt,0.00%
Larsen & Toubro Ltd.,Equity,0.00%
Bharat Petroleum Corporation Ltd.,Equity,0.00%
Bharat Petroleum Corporation Ltd.,Equity,0.00%
Larsen & Toubro Ltd.,Equity,0.00%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.00%
United Spirits Ltd.,Equity,0.00%
Canara Bank,Equity,0.00%
HDFC Life Insurance Company Ltd.,Equity,0.00%
Reliance Industries Ltd.,Equity,-0.02%
Biocon Ltd.,Equity,-0.03%
Bandhan Bank Ltd.,Equity,-0.03%
Tata Consultancy Services Ltd.,Equity,-0.04%
Net Receivables/(Payable),Others,-0.05%
Bank Of Baroda,Equity,-0.06%
Tata Motors Ltd.,Equity,-0.07%
Tech Mahindra Ltd.,Equity,-0.08%
Hindustan Unilever Ltd.,Equity,-0.10%
Indusind Bank Ltd.,Equity,-0.14%
S&P Bse Sensex,Others,-0.40%
Bajaj Finance Ltd.,Equity,-0.51%
Nifty,Others,-10.33%
