Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,11.64%
Coforge Ltd.,Equity,8.83%
Tata Consultancy Services Ltd.,Equity,7.61%
Computer Age Management Services Ltd.,Equity,6.22%
JB Chemicals & Pharmaceuticals Ltd.,Equity,5.82%
L&T Technology Services Ltd.,Equity,5.46%
Ltimindtree Ltd.,Equity,4.93%
Jubilant Foodworks Ltd.,Equity,4.85%
The Supreme Industries Ltd.,Equity,4.44%
Aditya Birla Capital Ltd.,Equity,4.42%
ICICI Lombard General Insurance Company Ltd.,Equity,4.35%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,4.16%
Dabur India Ltd.,Equity,3.73%
Crompton Greaves Consumer Electrcials Ltd.,Equity,2.97%
Divi Laboratories Ltd.,Equity,2.82%
Godrej Consumer Products Ltd.,Equity,2.65%
Asian Paints Ltd.,Equity,2.46%
Microsoft Corporation,Equity,1.77%
Gillette India Ltd.,Equity,1.76%
Facebook,Equity,1.56%
Novo Nordisk A/S,Equity,1.55%
ICICI Securities Ltd.,Equity,1.31%
Balkrishna Industries Ltd.,Equity,1.24%
Alphabet Inc Class C,Equity,0.99%
Net Receivables/(Payable),Others,0.89%
Central Depository Services (India) Ltd.,Equity,0.89%
Mastercard. Inc.,Equity,0.67%
