Company Name,Asset Type,Percentage Allocation
Cash,Others,11.71%
Reliance Industries Ltd.,Equity,3.74%
Power Finance Corporation Ltd.,Equity,3.36%
REC Ltd.,Equity,3.34%
HDFC Bank Ltd.,Equity,3.30%
ICICI Bank Ltd.,Equity,3.18%
National Thermal Power Corporation Ltd.,Equity,3.10%
Larsen & Toubro Ltd.,Equity,3.00%
Bajaj Auto Ltd.,Equity,3.00%
Trent Ltd.,Equity,2.66%
Esab India Ltd.,Equity,2.31%
Polycab India Ltd.,Equity,2.25%
Sonata Software Ltd.,Equity,2.03%
Coal India Ltd.,Equity,2.02%
Nestle India Ltd.,Equity,2.00%
Colgate-Palmolive Ltd.,Equity,1.99%
HCL Technologies Ltd.,Equity,1.96%
Suzlon Energy Ltd.,Equity,1.89%
Birlasoft Ltd.,Equity,1.88%
Indian Oil Corporation Ltd.,Equity,1.87%
TVS Motor Company Ltd.,Equity,1.82%
BSE Ltd.,Equity,1.81%
Ltimindtree Ltd.,Equity,1.70%
Exide Industries Ltd.,Equity,1.46%
Maruti Suzuki India Ltd.,Equity,1.46%
Jindal Stainless Ltd.,Equity,1.45%
Oberoi Realty Ltd.,Equity,1.36%
Persistent Systems Ltd.,Equity,1.29%
Ratnamani Metals & Tubes Ltd.,Equity,1.21%
Zensar Technologies Ltd.,Equity,1.16%
Rail Vikas Nigam Ltd.,Equity,1.16%
Suven Pharmaceuticals Ltd.,Equity,1.05%
Central Depository Services (India) Ltd.,Equity,1.01%
Sundaram Finance Ltd.,Equity,1.01%
Alkem Laboratories Ltd.,Equity,1.01%
Lupin Ltd.,Equity,1.01%
Jindal Saw Ltd.,Equity,0.99%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,0.99%
Blue Star Ltd.,Equity,0.98%
Titan Company Ltd.,Equity,0.96%
Aurobindo Pharma Ltd.,Equity,0.95%
Tata Motors - DVR - A - ORDY,Equity,0.95%
Narayana Hrudayalaya Ltd.,Equity,0.95%
Jyothy Labs Ltd.,Equity,0.94%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.93%
Prestige Estates Projects Ltd.,Equity,0.91%
Mazagon Dock Shipbuilders Ltd.,Equity,0.90%
Canara Bank,Equity,0.90%
Kalyan Jewellers India Ltd.,Equity,0.89%
Cyient Ltd.,Equity,0.89%
Sanofi India Ltd.,Equity,0.86%
Housing & Urban Development Corporation Ltd. (Hudco),Equity,0.85%
Tata Consultancy Services Ltd.,Equity,0.77%
Apar Industries Ltd.,Equity,0.76%
Chalet Hotels Ltd.,Equity,0.75%
Eris Lifesciences Ltd.,Equity,0.71%
CreditAccess Grameen Ltd.,Equity,0.48%
Tata Technologies Ltd.,Equity,0.06%
