Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.36%
Reliance Industries Ltd.,Equity,6.22%
Infosys Ltd.,Equity,5.33%
ICICI Bank Ltd.,Equity,4.37%
Larsen & Toubro Ltd.,Equity,3.00%
State Bank Of India,Equity,2.92%
Triveni Turbine Ltd.,Equity,2.56%
ITC Ltd.,Equity,2.29%
Bajaj Finance Ltd.,Equity,2.21%
Ultratech Cement Ltd.,Equity,2.19%
Sun Pharmaceuticals Ind Ltd.,Equity,2.11%
Multi Commodity Exchange of India Ltd.,Equity,2.10%
Axis Bank Ltd.,Equity,2.06%
Tata Consultancy Services Ltd.,Equity,1.98%
Indusind Bank Ltd.,Equity,1.77%
Hindustan Unilever Ltd.,Equity,1.70%
Maruti Suzuki India Ltd.,Equity,1.67%
Interglobe Aviation Ltd.,Equity,1.64%
Ashok Leyland Ltd.,Equity,1.49%
Dr Reddys Laboratories Ltd.,Equity,1.44%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.44%
First Source Solutions Ltd.,Equity,1.36%
Canfin Homes Ltd.,Equity,1.31%
ICRA Ltd.,Equity,1.30%
Titan Company Ltd.,Equity,1.28%
Ltimindtree Ltd.,Equity,1.27%
Alkem Laboratories Ltd.,Equity,1.24%
United Breweries Ltd.,Equity,1.23%
Cipla Ltd.,Equity,1.22%
Max Financial Services Ltd.,Equity,1.21%
Dalmia Bharat Ltd.,Equity,1.17%
Nestle India Ltd.,Equity,1.16%
Metropolis Healthcare Ltd.,Equity,1.14%
NIIT Learning Systems Ltd.,Equity,1.13%
Aurobindo Pharma Ltd.,Equity,1.12%
Info Edge (India) Ltd.,Equity,1.10%
Tata Motors Ltd.,Equity,1.07%
S.J.S. Enterprises Ltd.,Equity,1.07%
National Thermal Power Corporation Ltd.,Equity,1.05%
Bharti Airtel Ltd.,Equity,1.04%
The Federal Bank Ltd.,Equity,1.00%
Tata Steel Ltd.,Equity,0.99%
Polycab India Ltd.,Equity,0.98%
Prudent Corporate Advisory Services Ltd.,Equity,0.91%
Container Corporation Of India Ltd.,Equity,0.89%
Blue Star Ltd.,Equity,0.86%
Gillette India Ltd.,Equity,0.79%
Canara Bank,Equity,0.79%
Jubilant Foodworks Ltd.,Equity,0.76%
Asian Paints Ltd.,Equity,0.76%
Avenue Supermarts Ltd.,Equity,0.75%
Tata Technologies Ltd.,Equity,0.75%
Tech Mahindra Ltd.,Equity,0.75%
TCI Express Ltd.,Equity,0.70%
Rishabh Instruments Ltd.,Equity,0.65%
ICICI Securities Ltd.,Equity,0.60%
Jio Financial Services Ltd.,Equity,0.60%
Fsn ECommerce Ventures Ltd.,Equity,0.60%
Butterfly Gandhimathi Appliances Ltd.,Equity,0.58%
Mphasis Ltd.,Equity,0.56%
Power Grid Corporation Of India Ltd.,Equity,0.56%
Triparty Repo,Others,0.51%
Zee Entertainment Enterprises Ltd.,Equity,0.48%
The Indian Hotels Company Ltd.,Equity,0.48%
Aditya Birla Fashion & Retail Ltd.,Equity,0.45%
Sapphire Foods India Ltd.,Equity,0.44%
Kotak Mahindra Bank Ltd.,Equity,0.42%
Suven Pharmaceuticals Ltd.,Equity,0.28%
Cash,Others,-0.21%
