Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.50%
Triparty Repo,Others,5.74%
Axis Bank Ltd.,Equity,5.51%
HCL Technologies Ltd.,Equity,5.28%
Mahindra & Mahindra Ltd.,Equity,4.77%
Infosys Ltd.,Equity,4.69%
Tech Mahindra Ltd.,Equity,4.68%
Coal India Ltd.,Equity,4.31%
State Bank Of India,Equity,3.79%
Computer Age Management Services Ltd.,Equity,3.70%
ACC Ltd.,Equity,3.47%
ITC Ltd.,Equity,3.46%
ICICI Bank Ltd.,Equity,3.22%
DLF Ltd.,Equity,2.95%
Polycab India Ltd.,Equity,2.11%
Union Bank Of India,Equity,1.74%
BEML Ltd.,Equity,1.68%
Apollo Tyres Ltd.,Equity,1.56%
Ashok Leyland Ltd.,Equity,1.54%
Dr Reddys Laboratories Ltd.,Equity,1.51%
REC Ltd.,Equity,1.45%
Atul Auto Ltd.,Equity,1.43%
Canara Bank,Equity,1.37%
Power Grid Corporation Of India Ltd.,Equity,1.29%
Eicher Motors Ltd.,Equity,1.26%
Divi Laboratories Ltd.,Equity,1.22%
Cipla Ltd.,Equity,1.21%
DCB Bank Ltd.,Equity,1.16%
Sun Pharmaceuticals Ind Ltd.,Equity,1.14%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,1.04%
Net Receivables/(Payable),Others,1.01%
Vardhman Textiles Ltd.,Equity,0.98%
National Thermal Power Corporation Ltd.,Equity,0.96%
JSW Steel Ltd.,Equity,0.95%
Reliance Industries Ltd.,Equity,0.91%
MSTC Ltd.,Equity,0.89%
Healthcare Global Enterprises Ltd.,Equity,0.86%
Ashoka Buildcon Ltd.,Equity,0.85%
Uniparts India Ltd.,Equity,0.81%
Kajaria Ceramics Ltd.,Equity,0.79%
Gujarat Pipavav Port Ltd.,Equity,0.78%
NBCC (India) Ltd.,Equity,0.67%
Atul Ltd.,Equity,0.62%
Wheels India Ltd.,Equity,0.48%
Globus Spirits Ltd.,Equity,0.47%
Muthoot Finance Ltd.,Equity,0.42%
Ambika Cotton Mills Ltd.,Equity,0.40%
Johnson Controls - Hitachi Air Conditioning India Ltd.,Equity,0.38%
