Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,7.59%
HDFC Bank Ltd.,Equity,6.89%
Nestle India Ltd.,Equity,3.83%
Titan Company Ltd.,Equity,3.20%
CBLO(CCIL),Others,2.61%
Larsen & Toubro Ltd.,Equity,2.49%
CG Power & Industrial Solutions Ltd.,Equity,1.90%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.86%
Maruti Suzuki India Ltd.,Equity,1.82%
Coforge Ltd.,Equity,1.75%
Persistent Systems Ltd.,Equity,1.68%
Reliance Industries Ltd.,Equity,1.63%
Kotak Mahindra Bank Ltd.,Equity,1.61%
Bajaj Finance Ltd.,Equity,1.60%
Torrent Pharmaceuticals Ltd.,Equity,1.50%
Nifty,Equity,1.47%
REC Ltd.,Equity,1.41%
Infosys Ltd.,Equity,1.39%
Tata Consultancy Services Ltd.,Equity,1.32%
Net Receivables/(Payable),Others,1.27%
ABB India Ltd.,Equity,1.19%
Neuland Laboratories Ltd.,Equity,1.19%
Brookfield REIT,Others,1.18%
KSB Ltd.,Equity,1.15%
Global Health Ltd.,Equity,1.15%
Bajaj Finserv Ltd.,Equity,1.08%
Bharat Electronics Ltd.,Equity,1.08%
CMS Info Systems Ltd.,Equity,1.07%
Five-Star Business Finance Ltd.,Equity,1.06%
Nexus Select Trust,Others,1.06%
HDFC Life Insurance Company Ltd.,Equity,1.03%
Mahindra & Mahindra Ltd.,Equity,0.99%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.99%
Zomato Ltd.,Equity,0.94%
Sonata Software Ltd.,Equity,0.91%
Electronics Mart India Ltd.,Equity,0.91%
Godrej Consumer Products Ltd.,Equity,0.91%
Ambuja Cements Ltd.,Equity,0.90%
Rainbow Childrens Medicare Ltd.,Equity,0.89%
Varun Beverages Ltd.,Equity,0.87%
State Bank Of India,Equity,0.84%
Jio Financial Services Ltd.,Equity,0.81%
Poly Medicure Ltd.,Equity,0.81%
Tata Steel Ltd.,Equity,0.81%
Info Edge (India) Ltd.,Equity,0.77%
Trent Ltd.,Equity,0.76%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.75%
Ajanta Pharma Ltd.,Equity,0.72%
Krishna Institute of Medical Sciences Ltd.,Equity,0.70%
Hindalco Industries Ltd.,Equity,0.69%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.67%
Treasury Bill (91D),Others,0.67%
Newgen Software Technologies Ltd.,Equity,0.67%
Intellect Design Arena Ltd.,Equity,0.65%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.64%
Gandhar Oil Refinery (India) Ltd.,Equity,0.64%
Kewal Kiran Clothing Ltd.,Equity,0.63%
Nucleus Software Exports Ltd.,Equity,0.63%
National Thermal Power Corporation Ltd.,Equity,0.62%
Indiamart Intermesh Ltd.,Equity,0.62%
AIA Engineering Ltd.,Equity,0.60%
SAI Silks (Kalamandir) Ltd.,Equity,0.58%
Honasa Consumer Ltd.,Equity,0.57%
Navin Fluorine International Ltd.,Equity,0.55%
Arvind Fashions Ltd.,Equity,0.55%
Mankind Pharma Ltd.,Equity,0.54%
Abbott India Ltd.,Equity,0.53%
Treasury Bill (91D),Others,0.52%
Safari Industries (India) Ltd.,Equity,0.52%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,0.52%
Senco Gold Ltd.,Equity,0.52%
Muthoot Finance Ltd.,Equity,0.51%
The Phoenix Mills Ltd.,Equity,0.51%
Vijaya Diagnostic Centre Ltd.,Equity,0.50%
Gujarat Ambuja Exports Ltd.,Equity,0.50%
Shivalik Bimetal Controls Ltd.,Equity,0.49%
Ltimindtree Ltd.,Equity,0.49%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.49%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.48%
Vedant Fashions Pvt. Ltd.,Equity,0.47%
Asian Paints Ltd.,Equity,0.46%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.46%
Grindwell Norton Ltd.,Equity,0.45%
Eureka Forbes Ltd.,Equity,0.45%
PI Industries Ltd.,Equity,0.45%
Syngene International Ltd.,Equity,0.44%
Vesuvius India Ltd.,Equity,0.44%
Radiant Cash Management Services Ltd.,Equity,0.43%
Axis Bank Ltd.,Equity,0.43%
Treasury Bill (91D),Others,0.41%
Garware Technical Fibres Ltd.,Equity,0.41%
Hindustan Petroleum Corporation Ltd.,Equity,0.41%
Jupiter Life Line Hospitals Ltd.,Equity,0.39%
Cello World Ltd.,Equity,0.36%
Bank Of India,Equity,0.35%
The Jammu & Kashmir Bank Ltd.,Equity,0.35%
Hindustan Unilever Ltd.,Equity,0.33%
Go Fashion (India) Ltd.,Equity,0.33%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.30%
Treasury Bill (364D),Others,0.30%
Kaynes Technology India Pvt. Ltd.,Equity,0.29%
Eicher Motors Ltd.,Equity,0.28%
Balkrishna Industries Ltd.,Equity,0.27%
Treasury Bill (91D),Others,0.27%
Power Grid Corporation Of India Ltd.,Equity,0.26%
Saregama India Ltd.,Equity,0.26%
RHI Magnesita India Ltd.,Equity,0.21%
Craftsman Automation Ltd.,Equity,0.21%
Power Finance Corporation Ltd.,Equity,0.20%
