Company Name,Asset Type,Percentage Allocation
HDFC Mutual Fund (HDFC Low Duration Fund - Direct - Growth),Debt,15.09%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Short Term Fund - Direct - Growth),Debt,14.35%
ICICI Prudential Mutual Fund (ICICI Prudential Savings Fund - Direct -  Growth),Debt,13.78%
Kotak Mahindra Mutual Fund (Kotak Multicap Fund - Direct - Growth),Equity,7.13%
HDFC Mutual Fund (HDFC Large and Mid Cap Fund - Direct - Growth),Equity,6.87%
Nippon India Mutual Fund (Nippon India Growth Fund - Direct - Growth),Equity,6.34%
HDFC Mutual Fund (HDFC Corporate Bond Fund - Direct - Growth),Debt,6.31%
Bandhan Mutual Fund,Debt,5.84%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Gold ETF),Others,4.03%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Small Cap Fund - Direct - Growth),Equity,3.79%
ICICI Prudential Mutual Fund (ICICI Prudential Bluechip Fund - Direct - Growth),Equity,3.60%
Kotak Mahindra Mutual Fund (Kotak Emerging Equity Fund - Direct - Growth),Equity,3.51%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Flexi Cap Fund - Direct - Growth),Equity,3.06%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Frontline Equity Fund - Direct - Growth),Equity,2.37%
Nippon India Mutual Fund (Nippon India Small Cap Fund - Direct - Growth),Equity,1.74%
Mirae Asset Mutual Fund (Mirae Asset Midcap Fund - Direct - Growth),Equity,1.45%
CBLO(CCIL),Others,1.01%
Net Receivables/(Payable),Others,-0.27%
