Company Name,Asset Type,Percentage Allocation
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Nifty Smallcap 50 Index Fund - Direct - Growth),Equity,21.65%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct - Growth),Equity,15.38%
Kotak Mahindra Mutual Fund (Kotak Nifty 50 ETF),Equity,12.15%
Aditya Birla Sun Life Mutual Fund,Debt,11.88%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Nifty 200 Momentum 30 ETF),Equity,11.63%
Nippon India Mutual Fund (Nippon India ETF Gold BeES),Others,10.05%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Nifty Next 50 Index Fund - Direct - Growth),Equity,7.43%
Nippon India Mutual Fund (Nippon India ETF Nifty 1D Rate Liquid BeES),Debt,3.90%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Nifty Bank ETF),Equity,3.46%
CBLO(CCIL),Others,1.72%
Net Receivables/(Payable),Others,0.73%
