Company Name,Asset Type,Percentage Allocation
HDFC Mutual Fund,Debt,15.94%
Axis Mutual Fund (Axis Strategic Bond Fund - Direct - Growth),Debt,15.92%
ICICI Prudential Mutual Fund (ICICI Prudential Constant Maturity Gilt Fund - Direct - Growth),Debt,14.75%
SBI Mutual Fund (SBI Magnum Constant Maturity Fund - Direct - Growth),Debt,13.62%
ICICI Prudential Mutual Fund (ICICI Prudential Medium Term Bond Fund - Direct - Growth),Debt,10.40%
SBI Mutual Fund (SBI Nifty 10 yr Benchmark G-Sec ETF),Debt,8.97%
Axis Mutual Fund (Axis Credit Risk Fund - Direct - Growth),Debt,7.46%
Bandhan Mutual Fund,Debt,7.00%
SBI Mutual Fund (SBI CRISIL IBX Gilt Index  June 2036 Fund - Direct - Growth),Debt,2.37%
CBLO(CCIL),Others,2.09%
Axis Mutual Fund (Axis Short Term Fund - Direct - Growth),Debt,1.53%
Net Receivables/(Payable),Others,-0.06%
