Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.31%
ICICI Bank Ltd.,Equity,7.44%
Tata Motors Ltd.,Equity,6.45%
Infosys Ltd.,Equity,6.44%
Axis Bank Ltd.,Equity,5.78%
Larsen & Toubro Ltd.,Equity,5.51%
National Thermal Power Corporation Ltd.,Equity,5.19%
Bharti Airtel Ltd.,Equity,3.81%
Cholamandalam Investment & Finance Company Ltd.,Equity,3.60%
Motherson Sumi Wiring India Ltd.,Equity,3.45%
Cyient Ltd.,Equity,3.32%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,3.12%
State Bank Of India,Equity,2.87%
Sona Blw Precision Forgings Ltd.,Equity,2.68%
HDFC Life Insurance Company Ltd.,Equity,2.46%
Ltimindtree Ltd.,Equity,2.40%
Sumitomo Chemical India Ltd.,Equity,2.38%
Astra Microwave Products Ltd.,Equity,2.33%
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),Equity,2.30%
Divi Laboratories Ltd.,Equity,2.10%
Triparty Repo,Others,2.05%
Coal India Ltd.,Equity,2.02%
APL Apollo Tubes Ltd.,Equity,1.97%
CMS Info Systems Ltd.,Equity,1.87%
Cummins India Ltd.,Equity,1.82%
Net Receivables/(Payable),Others,1.53%
Max Healthcare Institute Ltd.,Equity,1.51%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.47%
Computer Age Management Services Ltd.,Equity,1.31%
Tata Technologies Ltd.,Equity,1.10%
Info Edge (India) Ltd.,Equity,0.71%
Data Patterns (India) Ltd.,Equity,0.60%
Bharti Airtel Ltd.,Equity,0.11%
