Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.31%
Larsen & Toubro Ltd.,Equity,6.86%
Zomato Ltd.,Equity,6.78%
Indusind Bank Ltd.,Equity,5.65%
Cholamandalam Investment & Finance Company Ltd.,Equity,5.01%
ICICI Bank Ltd.,Equity,4.85%
Tata Motors Ltd.,Equity,4.83%
Nestle India Ltd.,Equity,4.70%
Axis Bank Ltd.,Equity,4.38%
Tata Power Company Ltd.,Equity,4.11%
Coforge Ltd.,Equity,3.88%
Motherson Sumi Wiring India Ltd.,Equity,3.82%
Dalmia Bharat Ltd.,Equity,3.62%
Affle (India) Ltd.,Equity,3.46%
CG Power & Industrial Solutions Ltd.,Equity,3.41%
Bharat Electronics Ltd.,Equity,3.26%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,2.96%
Metro Brands Ltd.,Equity,2.92%
Tata Communications Ltd.,Equity,2.74%
TVS Motor Company Ltd.,Equity,2.69%
Ratnamani Metals & Tubes Ltd.,Equity,2.50%
Mahindra & Mahindra Ltd.,Equity,2.45%
Triparty Repo,Others,2.19%
Oil India Ltd.,Equity,1.97%
Jindal Stainless Ltd.,Equity,1.52%
Treasury Bill (364D),Others,0.88%
Tata Communications Ltd.,Equity,0.39%
Net Receivables/(Payable),Others,0.26%
Derivative,Others,-0.39%
