Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.62%
ICICI Bank Ltd.,Equity,7.79%
Larsen & Toubro Ltd.,Equity,6.67%
Tata Consultancy Services Ltd.,Equity,6.50%
Reliance Industries Ltd.,Equity,5.26%
Trent Ltd.,Equity,4.41%
Bharat Electronics Ltd.,Equity,4.16%
Persistent Systems Ltd.,Equity,3.88%
State Bank Of India,Equity,3.64%
KEI Industries Ltd.,Equity,3.62%
ITC Ltd.,Equity,3.36%
Ultratech Cement Ltd.,Equity,3.33%
Axis Bank Ltd.,Equity,3.06%
Bajaj Finance Ltd.,Equity,2.91%
Coforge Ltd.,Equity,2.84%
TVS Motor Company Ltd.,Equity,2.75%
Sun Pharmaceuticals Ind Ltd.,Equity,2.75%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.49%
National Thermal Power Corporation Ltd.,Equity,2.37%
Tata Motors Ltd.,Equity,2.19%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,2.10%
Dixon Technologies (India) Ltd.,Equity,2.09%
ABB India Ltd.,Equity,1.79%
Syngene International Ltd.,Equity,1.74%
Godrej Properties Ltd.,Equity,1.74%
Kajaria Ceramics Ltd.,Equity,1.73%
Titan Company Ltd.,Equity,1.67%
Eicher Motors Ltd.,Equity,1.48%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.23%
CBLO(CCIL),Others,1.01%
Indian Bank,Equity,0.80%
Accrued Interest,Others,0.00%
Net Receivables/(Payable),Others,-0.01%
